ObjID,population,dt_days,obs_ecl_lon,pred_ecl_lon,obs_ecl_lat,pred_ecl_lat,obs_vlam,pred_vlam,obs_vbeta,pred_vbeta,obs_mjd_utc,pred_epoch_mjd_tdb,pred_light_time_s,pred_delta_au,sep_arcsec,dlon_arcsec,dlat_arcsec
S00004yKa,NEO,-0.0001860419797594659,283.8148285921439,283.8218530210223,-49.05315120361445,-49.05496423171915,-0.24926740026269295,-0.2237370932421013,0.1449220607928984,0.14907426315140226,61641.99981395802,61642.0,373.74485356350374,0.748980502131257,17.81134148210881,-25.2879439623257,6.526901176917477
S0000ERxa,NEO,0.0002340017817914486,288.98333491089545,288.99138627172306,-48.35328228542896,-48.35777382467257,-0.32115342457725926,-0.2752362279412587,0.342747801358201,0.3526968125800427,61642.00023400178,61642.0,198.8248095473875,0.3984426923102801,25.148096811062594,-28.984898979388163,16.169541276994437
S100gKMfa,other,0.0015037443808978423,286.41985701242646,286.4253460851603,-41.45524573636168,-41.45857325328593,-0.11192473223138323,-0.1009261660322082,0.23264928949606814,0.23467765000580668,61642.00150374438,61642.0,747.652817127202,1.4982878748767403,19.047971939452925,-19.76066184181491,11.979060927279761
S00001sqa,NEO,0.0015037443808978423,284.3932979604527,284.39940600416185,-41.87469173992289,-41.88164744673003,-0.15487261048674733,-0.14038186523608795,0.4850044029446456,0.4875199333700449,61642.00150374438,61642.0,577.058480689589,1.1564187346128947,29.91786652832618,-21.988957352982652,25.040544505705498
S0000175a,NEO,0.0019287555332994089,282.614016238369,282.6204684349182,-41.12796031960086,-41.13491110927956,-0.19405287478946456,-0.1636678494886341,0.5238523999866576,0.5285015940100299,61642.00192875553,61642.0,275.5412219449791,0.5521815238457725,30.532423825220725,-23.22790757718849,25.0228428433104
S100uBSma,MBA,0.0019287555332994089,283.08057798064175,283.0857331445429,-38.15706679355913,-38.16021575306744,-0.0795866844141401,-0.06965074907605362,0.19681006246813665,0.19821790142223544,61642.00192875553,61642.0,804.0588838957663,1.6113250011642606,18.47855124850588,-18.55859004424474,11.336254229911447
S100tL68a,other,0.0019287555332994089,284.8641380766005,284.86889878626073,-39.59046592292029,-39.592971265063234,-0.060580623988881865,-0.04763572688664981,0.1697217826471909,0.1718652307922982,61642.00192875553,61642.0,624.7445642402652,1.251981112159827,15.992905436728853,-17.138554776784076,9.019231714606235
S0000G8pa,NEO,0.0019287555332994089,283.0379634056901,283.05006934908977,-38.85400903835442,-38.86697470433976,-0.5503642021284274,-0.48859463033530287,0.8672276439733075,0.8758766369461277,61642.00192875553,61642.0,131.73076767932756,0.26398698358487105,57.70895648427342,-43.581396238778325,46.676397547227566
S000004za,NEO,0.003200918188667856,274.2124054666122,274.2202825631531,-36.198443527657346,-36.2133529496499,-0.17329790084041055,-0.16019490946069023,0.6460984676262317,0.6466356012601393,61642.00320091819,61642.0,604.1794136633366,1.2107687806490315,58.34776237279434,-28.357547547170725,53.67391917320106
S100UMbWa,other,0.004046847490826622,281.9240474632029,281.92852051605905,-34.53682320438518,-34.5376482761954,-0.03545635263055887,-0.02022989447667972,0.049871458960459414,0.05172606698646154,61642.00404684749,61642.0,505.40568584677743,1.0128273359654256,13.593445114030953,-16.102990282161045,2.970258516788249
S00001lwa,NEO,0.004046847490826622,281.54141387197785,281.5467368994633,-34.22683494040687,-34.23119299360943,-0.08580726849695214,-0.07563629661245924,0.25862105990536793,0.2599177188969027,61642.00404684749,61642.0,753.2550883003754,1.5095147635853121,22.297322834452764,-19.162898947706708,15.688991529236773
S00000cla,NEO,0.004472231077670585,285.7403414338986,285.74658597339203,-36.52100082752187,-36.52279427414452,-0.13799609973657165,-0.1335458417787635,0.10451071475302197,0.10521857353574286,61642.00447223108,61642.0,1728.8750597826413,3.464646263492138,19.184907697318664,-22.480342176322665,6.45640784156285
S0000i1oa,NEO,0.00489311182172969,290.312370981518,290.30834127406763,-37.43601578789835,-37.44040287792084,0.44301010109323696,0.47188960068318114,0.24817568904144352,0.25395070434212214,61642.00489311182,61642.0,267.47671939838347,0.5360203510317588,19.5477556685174,14.506946821234123,15.793524080964971
S00001Bna,NEO,0.005749585667217616,284.9637738729854,284.979914363461,-31.31763677668627,-31.317802791853378,-0.6589375546347432,-0.6446534084150475,0.009615624043437146,0.011472111551590775,61642.00574958567,61642.0,511.2028525102162,1.024444793054459,49.643243951191565,-58.105765711979984,0.5976546015844519
S0000gWZa,NEO,0.005749585667217616,283.62145408733306,283.63180599972657,-32.356301510758456,-32.361505770302536,-0.3486059301117664,-0.32459392957947425,0.2806489316136565,0.28396458276833,61642.00574958567,61642.0,306.8915118205091,0.6150071537616242,36.633177430446395,-37.266884616610696,18.735334358686373
S00009Oya,NEO,0.006172493849589955,280.6273826680324,280.6179080448956,-32.14630376201638,-32.14587644037569,0.7008832469481089,0.730360916732338,-0.0208081963655951,-0.018090084867083796,61642.00617249385,61642.0,261.4169763207996,0.5238766937485582,28.92053338373854,34.10864329241576,-1.5383579064945252
S00002bpa,NEO,0.006596575134608429,276.7076619304741,276.7058048472264,-31.904242556067075,-31.89984999305885,0.2942155627244098,0.3267164536316002,-0.2246414264309265,-0.22260615739828385,61642.006596575135,61642.0,235.22033831272742,0.4713789244753209,16.80093492262394,6.685499691820951,-15.813226829607174
S00001wua,NEO,0.007444322880473919,277.3288052261814,277.3346705625991,-29.94217048772393,-29.950817675486764,-0.09721233766105629,-0.07416174370414569,0.42247696941732193,0.42436686129625306,61642.00744432288,61642.0,322.79645041875955,0.6468804726424161,36.10842918815518,-21.115211103870024,31.12987594619767
S00000hMa,NEO,0.00829496015649056,283.06126629142,283.0683118652434,-27.811968126429953,-27.818473483114488,-0.14445813735225152,-0.13248327251178185,0.29645868850738794,0.2977138135576513,61642.00829496016,61642.0,593.9890331373999,1.1903473721655358,32.430255903169034,-25.36406576425634,23.419284064326007
S0000hCLa,NEO,0.00829496015649056,282.06488475511856,282.0626672916755,-27.54291097286221,-27.555369146828482,0.27404268972352674,0.2975375552779639,0.5682311081303532,0.5705096725909374,61642.00829496016,61642.0,308.79860589589265,0.6188289489370583,45.40446300531249,7.98286839501543,44.84942627858288
S00000usa,NEO,0.008718329438124783,283.2986044528154,283.3080660050231,-27.45355071330183,-27.453524058232368,-0.25173241616343994,-0.23263609633351262,7.35031084532224e-05,0.001866956310733889,61642.00871832944,61642.0,372.44475413789655,0.7463751174381232,30.22589432364724,-34.06158794755356,-0.09595825006272207
S100sgM7a,MBA,0.008718329438124783,286.8436384826721,286.8494079802795,-29.064489724218433,-29.065913890581278,-0.08645011952755499,-0.07878389187018064,0.06642389563402393,0.06740747383193159,61642.00871832944,61642.0,924.9211154641334,1.8535315600658104,18.864615918143976,-20.77019138680498,5.12699890624333
S100cNWGa,MBA,0.009140368863882031,288.69531305729095,288.70158201697603,-26.79518751346025,-26.797181370518146,-0.10773893020912136,-0.10325749094214438,0.09228794645848112,0.09289852149405725,61642.009140368864,61642.0,1530.7603456210556,3.0676265943848477,21.385375176979927,-22.56825486631442,7.177885408430029
S100i6jFa,MBA,0.009566092019667849,285.28431224394126,285.2898717212569,-26.244662061844206,-26.24748258331418,-0.07541230421020166,-0.0703388698091262,0.12650608457299004,0.1270539398327124,61642.00956609202,61642.0,1372.033338177994,2.7495394485606544,20.623523282427378,-20.01411833621205,10.153877291908486
S00006oVa,NEO,0.009566092019667849,284.37185069503795,284.3727435182493,-25.098231084720165,-25.110090532107183,0.1309097573271913,0.15094710170969902,0.5242193417725923,0.526382466258981,61642.00956609202,61642.0,350.12871576116277,0.7016540263792828,42.79310491979306,-3.2141635608923025,42.69401059326299
S00000mGa,NEO,0.009566092019667849,284.9972596119559,285.00739032699926,-25.613593624251518,-25.61535516386167,-0.2790208653325723,-0.27266717061736323,0.0790656532451839,0.07971525113044792,61642.00956609202,61642.0,1079.6859228686244,2.1636785013731035,33.49221349797388,-36.47057415614654,6.341542596541672
S100z27Ra,MBA,0.009566092019667849,286.8154997029556,286.8201173584872,-25.374574534761383,-25.373733460506795,-0.033263671492714135,-0.021589866418887604,-0.036816040824228256,-0.03552125888055571,61642.00956609202,61642.0,590.0910380132025,1.1825358335782077,15.32201915923572,-16.623559913773533,-3.0278673165156533
S100fBIKa,MBA,0.009566092019667849,286.84612891969505,286.8526091278108,-26.831666042959846,-26.83577387216749,-0.11632825734037919,-0.10935592167075861,0.18398085228568137,0.18483179089833027,61642.00956609202,61642.0,994.8839217621761,1.9937362405905052,25.53480214777885,-23.328749216739197,14.788185147519073
S1001NG2a,MBA,0.009566092019667849,286.53731898666587,286.54252010500375,-26.212323412943466,-26.215621760203366,-0.0594706581775036,-0.053186014460377476,0.14772514560547662,0.14846401326360575,61642.00956609202,61642.0,1101.927081223087,2.208249533705662,20.57121847294448,-18.724026016366224,11.87405013563989
S100Bqy8a,MBA,0.009989609759941231,282.9573773892134,282.9626955742848,-25.358531812860697,-25.359579018462288,-0.06374189952695221,-0.05626765599754831,0.046159123628672694,0.04678355962878053,61642.00998960976,61642.0,935.1574380619702,1.874045035947031,17.706625147809195,-19.145466257100452,3.769940165726382
S00005kEa,NEO,0.010415027318231296,279.00271726793653,278.9635658858054,-26.722622744940175,-26.709817422120626,1.8468448919317355,1.913541516798679,-0.5468604573522825,-0.5441616821078556,61642.01041502732,61642.0,111.46620634069744,0.22337702954225855,134.07277228496264,140.944975672096,-46.09916215037657
S0000Xhaa,NEO,0.010415027318231296,279.621101462986,279.6269050100524,-26.71348803262487,-26.712483591701538,-0.0834454140530767,-0.012867936738227302,-0.03981857744895122,-0.035371983435580415,61642.01041502732,61642.0,102.7897948024064,0.2059895979597592,19.00995132610082,-20.892769438910364,-3.6159873239938634
S00001e2a,NEO,0.010841101742698811,278.57488669232384,278.60336550609765,-24.3615256719182,-24.376501646917237,-1.0387681820147336,-0.968578704668078,0.6349559719715042,0.6377739121969807,61642.01084110174,61642.0,102.61288484107824,0.2056350723779238,107.8345005035711,-102.52372958568685,53.913509996529285
S1008DXTa,MBA,0.010841101742698811,277.875076963213,277.8786707849724,-22.808736130227636,-22.81044542888713,0.011648069681193368,0.01917905936931301,0.07383998608843709,0.07415237751656774,61642.01084110174,61642.0,926.0881025106713,1.855870189041602,13.41994072691762,-12.937758333873717,6.153475174183143
S100fjD0a,other,0.010841101742698811,276.66324957162914,276.6684407041423,-25.216663535050245,-25.215656436289468,-0.055204963918866715,-0.04279791599096528,-0.041222560825064036,-0.04080846579264598,61642.01084110174,61642.0,573.7240333943913,1.1497365395654568,17.29159274902977,-18.68807704743176,-3.625555538796732
S000016na,NEO,0.011271399962424766,274.7205988462509,274.7250209716093,-23.92220560982047,-23.925147894954005,-0.022484337947861453,-0.008698915049666231,0.12268600308531839,0.12299282956181364,61642.01127139996,61642.0,513.3101072239748,1.028667707908218,17.99872660536354,-15.919651290300862,10.592226480727618
S00009VCa,NEO,0.011271399962424766,274.393002510569,274.3839906858269,-23.6683954812956,-23.66387629826209,0.5338648041706021,0.5624110819769036,-0.1856063226881569,-0.18532087060180655,61642.01127139996,61642.0,253.0964321186878,0.5072024163235069,33.87643622953657,32.44256907141789,-16.26905892064343
S100IPC6a,MBA,0.011271399962424766,274.71212225622776,274.71525094695403,-24.025084394869477,-24.029426372430983,0.030326985292836586,0.03730231747469729,0.1805893584679708,0.18076219763153736,61642.01127139996,61642.0,1014.9312803082762,2.0339109226686682,18.71259813639151,-11.263286614575918,15.63111922142042
S0000eoRa,NEO,0.01169666132045677,272.3634439770007,272.36254212153636,-26.5765025240761,-26.5821345857505,0.19581286713428322,0.2278690655827219,0.23122429899344957,0.23152885824364872,61642.01169666132,61642.0,229.03243887760243,0.4589784432864337,20.48226982230153,3.2466796716562385,20.275422027830814
S0000Edka,NEO,0.01169666132045677,273.8020993193649,273.8212038941911,-28.153938131353932,-28.159861978288532,-0.6202408594960079,-0.5452569991503216,0.2451445158367616,0.24614438942738773,61642.01169666132,61642.0,100.18985155427927,0.20077934079921705,64.27816547369302,-68.77646937432473,21.32584896455967
