ObjID,population,obs_ra_deg,obs_dec_deg,obs_vlam,obs_vbeta,pm_deg_day,sorcha_ecl_lon_footprint,sorcha_ecl_lat_footprint,obs_ecl_lon,obs_ecl_lat,foff_arcsec,dt_days
S1005P2Ja,MBA,293.27808780995,-27.129435400331918,-0.09916835139724449,-0.005140422479777261,0.09930148972758647,290.68115912751364,-5.346545883735013,290.6863061453481,-5.346472078584003,18.450563581116715,0.194946821036865
S100BZtZa,MBA,331.3227807182177,-10.226212786106094,-0.2189683535886087,0.09999580880416364,0.24072038063218662,329.72464293216115,1.4317569884484773,329.7311003633927,1.430580678872215,23.62217582479837,0.14650209829414962
S00008Iwa,NEO,19.71698817563265,-13.465080167704043,0.24660074497619489,-0.4330009152968411,0.4982988260780036,12.823340313597972,-20.13502847367703,12.824267117351436,-20.12986306157744,18.857502071380388,0.2872158579630195
S100KLYka,other,308.92992108654107,-10.48456464274566,-0.2188694075262515,-0.05533541745657504,0.22575612057258998,308.5867461430727,7.891880711648102,308.59321445729813,7.892546880091225,23.189710945969676,0.14091084243409568
S1015p3ya,MBA,334.8672350251927,-6.696368360268598,-0.21076244543074618,0.024316548731927998,0.2121605593558343,334.25926438304396,3.4862973772516868,334.26563690433306,3.4860047630147184,22.922842394108358,0.14989657405385515
S101ABu3a,MBA,333.54084357368816,3.005831118643904,-0.2331709050410349,-0.0736774481130604,0.24453432748411422,336.56664713470326,13.007896543627561,336.5732881462775,13.00877010357111,23.50543171590285,0.2467580922311754
S100CArMa,MBA,350.0691254344453,-3.40172607296621,-0.2038366404089006,-0.00025638927670004546,0.2038368016542858,349.53243851518624,0.8044278198511982,349.5387401227027,0.804437246393388,22.68357654219615,0.24251883818942588
S100AgT6a,MBA,305.7004105540176,-26.52845394700334,-0.1829925503133589,0.04752837860338477,0.18906406385893082,301.7264808223531,-6.935963401795412,301.73266759923655,-6.936555314502078,22.211836838081048,0.20304343719180906
S100Lnrwa,MBA,350.7325361686366,-3.9117121161458575,-0.22323783342052578,0.027691760213599714,0.22494880273968546,349.9412106202412,0.07595849418525201,349.9477366273635,0.07564348216075414,23.520959571310776,0.24166793603944825
S100A4zya,MBA,308.2168194036324,-20.79402763470201,-0.20825604148070692,0.1274292093776347,0.24414909833096451,305.35043578937,-1.9209337032533278,305.35693267283096,-1.9225266181203333,24.06874117755194,0.20474657408340136
S100OfOga,MBA,3.20713604682129,-0.10798454884707703,-0.16658407794892843,0.05834272814044207,0.17650532273267058,2.8940783291466543,-1.3735230286934488,2.9000664326580523,-1.374262696598718,21.714858264196028,0.29867771782301133
STC000nMa,TNO,260.67893582946044,-20.856076644542302,-0.004635212743609317,-0.0012799898865854611,0.004808697462752182,261.2835869059587,2.3017235015322988,261.2875039804199,2.30174944306737,14.090400395413392,0.05317928300064523
S100zpXVa,MBA,317.36242625847706,-13.225912281579596,-0.2319436672496018,-0.04966152015407624,0.23720061416701207,315.8109636121961,3.0018956777069805,315.81759446184566,3.002485841896165,23.93278633559072,0.14306704422779148
