quantile,old_p_NEO_4pop,new_p_NEO_vs_OTHER,old_minus_new
0.01,9.309089646772405e-05,9.316022191687738e-05,-0.03511449201923868
0.05,0.00017311506419265534,0.00017346594182231,-5.5180080766629296e-05
0.25,0.00032328211273766516,0.0003233908934691228,-7.83486912286853e-07
0.5,0.00048012479322476377,0.00048123709593464253,-1.2774842263386542e-07
0.75,0.0007811692878622997,0.0007822787806667712,-3.734733101748986e-08
0.95,0.0065899813709418345,0.006631135106043993,9.342816519268145e-07
0.99,0.7188359121911096,0.7735887495178911,5.552643279686675e-05
