population,n,median_old,median_new,median_diff,mean_diff,max_abs_diff
NEO,228,0.3902479658463265,0.4205132577352674,-0.013525441639542002,-0.02814333740271114,0.1698279942117601
MBA,5327,0.00048238803903600836,0.00048240745862383673,-1.0573191348481597e-07,-1.2408788777852595e-05,0.012265696054989339
TNO,45,2.3626112318447957e-06,2.3627032811937696e-06,-1.3419493904863312e-10,-1.1943191768757946e-08,4.5178790161835153e-07
Trojans,884,0.0004067548021230064,0.00041471618186541664,-7.617118817957038e-06,-7.416184166337488e-06,0.00042102591281628957
