population,k_OTHER,n,median_old,median_new,median_old_minus_new,mean_old_minus_new,max_abs_diff,spearman_vs_old,pearson_vs_old
NEO,10,228,0.3902479658463265,0.4205132577352674,-0.013525441639542002,-0.02814333740271114,0.1698279942117601,0.9963297717776155,0.9948561590216788
NEO,30,228,0.3902479658463265,0.31301291050274654,0.05404242632416689,0.05256510905279403,0.1699638106246975,0.9970466053173255,0.993472140270197
MBA,10,5327,0.00048238803903600836,0.00048240745862383673,-1.0573191348481597e-07,-1.2408788777852595e-05,0.012265696054989339,0.9999584482525999,0.9999765484507762
MBA,30,5327,0.00048238803903600836,0.0005014970865625105,-2.1088952040969984e-05,-3.7025410896483393e-06,0.12106523550105946,0.9602411724713102,0.987859939563703
TNO,10,45,2.3626112318447957e-06,2.3627032811937696e-06,-1.3419493904863312e-10,-1.1943191768757946e-08,4.5178790161835153e-07,0.9999999999999999,0.999998176086555
TNO,30,45,2.3626112318447957e-06,2.7313860528676205e-06,-4.823506525712098e-07,-7.401867540517029e-05,0.0032801808832311928,0.9071146245059287,0.9060136147433041
Trojans,10,884,0.0004067548021230064,0.00041471618186541664,-7.617118817957038e-06,-7.416184166337488e-06,0.00042102591281628957,0.9889832896988101,0.9881041257858801
Trojans,30,884,0.0004067548021230064,0.0004315403846038696,-1.9633711197541336e-05,-2.5226468500974884e-05,0.0004474604203809889,0.9737429752731525,0.9805023507180287
