k_OTHER,n_paired,n_valid,frac_valid,median_abs_diff_vs_old,max_abs_diff_vs_old,mean_diff_vs_old,spearman_vs_old,pearson_vs_old,spearman_k10_vs_k30
10,6484,6852,0.9979609670841829,1.7394893907397976e-07,0.1698279942117601,-0.0010008234099143172,0.9987074764527952,0.9977995854755627,0.9638747559181259
30,6484,6852,0.9979609670841829,5.398008704312338e-05,0.1699638106246975,0.001841377296283835,0.9658010241765761,0.9965097374678888,0.9638747559181259
