map_center_id,n_rows,n_old_valid,frac_old,n_valid_k10,frac_k10,n_valid_k30,frac_k30
dlon+130_lat+08,2242,2098,0.935771632471008,2238,0.9982158786797503,2238,0.9982158786797503
dlon-120_lat+08,2288,2174,0.9501748251748252,2283,0.9978146853146853,2283,0.9978146853146853
dlon-130_lat+08,2336,2212,0.946917808219178,2331,0.9978595890410958,2331,0.9978595890410958
