tracklet_uid,center_label,magnitude_bin,population,mean_mag_V,vlam,vbeta,P_NEO_new,new_vdp_valid,new_vdp_reason,p_k10,valid_k10,rhoO_k10,reason_k10,p_k30,valid_k30,rhoO_k30,reason_k30
T2:35389d6fd3b3bc222edbdfa1f718b3f1,dlon+130_lat+08,V023.75_024.00,NEO,23.9336283990156,1.7386705468873302,-0.783705029095971,0.5021514399507928,True,ok,0.6560968902059677,True,2.0555711921051456,ok,0.4171971402872877,True,5.478286615577437,ok
T2:1ce9cf7823b5847b551bd43744246940,dlon-130_lat+08,V022.00_022.25,NEO,22.104384889121782,0.5875311227027968,-0.18425311167842123,0.08892548476575482,True,ok,0.09239120998532413,True,620.7760781798648,ok,0.0498930447186474,True,1203.370675825835,ok
T2:937978061546de5e9628da3a9c12b8dc,dlon+130_lat+08,V024.50_024.75,NEO,24.526879279237143,0.2756433934401085,0.09793594762288797,0.0037732311872779394,True,ok,0.0037982659036111667,True,84952.65468678884,ok,0.004083686854081128,True,78992.42388816187,ok
T2:fe3008a1988efec994e712191c121e71,dlon+130_lat+08,V024.00_024.25,NEO,24.148195329984457,0.6341756719369909,0.28107448803226126,0.12956298532788574,True,ok,0.13328073699135867,True,596.2801353590758,ok,0.11712075007213575,True,691.2047957965478,ok
T2:f0cc0678c95e786928b68c8fcf25408d,dlon-130_lat+08,V024.25_024.50,NEO,24.4109330605419,0.6460442940313311,-0.5684647022595476,0.41143818226268075,True,ok,0.5122154233011835,True,21.787318343823124,ok,0.29821814614363557,True,53.838931788978314,ok
T2:cfac1be20524e52dc10ead4283b1dcd0,dlon-130_lat+08,V024.50_024.75,NEO,24.742948091246177,0.543004460350793,-0.07846828170272163,0.011311534317085046,True,ok,0.01132007083979444,True,52871.850542248896,ok,0.011820347121743662,True,50608.51743330829,ok
T2:71f1fa213e566ce8fb4cdbee3315b1ba,dlon-120_lat+08,V023.50_023.75,NEO,23.66611927176475,0.35196212300634583,0.07590921936903106,0.0017156442225277034,True,ok,0.0017174019599342557,True,156001.66793039942,ok,0.0015359387417625714,True,174464.16565583102,ok
T2:f1ff5197e17b4434dbc3f44376d1e804,dlon-130_lat+08,V023.50_023.75,NEO,23.582996691522027,0.9018543866685018,0.1445873805214312,0.70785937107103,True,ok,0.7308279176684679,True,80.7170490633257,ok,0.5969227043585857,True,147.98599918912572,ok
T2:23fd5285944c0d4791f1dc42f343e682,dlon-130_lat+08,V023.50_023.75,NEO,23.583932333722963,0.4595046367991928,-0.09893876655842562,0.004040065358114647,True,ok,0.0040444420711524265,True,59123.10951873421,ok,0.005221133689311706,True,45744.37136253432,ok
T2:b2600ab8cec213183fb039e784ff4380,dlon+130_lat+08,V023.50_023.75,NEO,23.654355798327487,0.8561565587985404,-0.05714400602510202,0.6123241648183803,True,ok,0.6246359675584167,True,220.198901574762,ok,0.5102690421326918,True,351.68011926942864,ok
T2:f01ca35b9ea64add749470bea3aaef55,dlon-120_lat+08,V024.50_024.75,NEO,24.732046871829606,0.3650333242784376,0.13181639277277787,0.011130216531137192,True,ok,0.011200314832653815,True,17995.772057484435,ok,0.01017602713844026,True,19827.689352015004,ok
