index,delta_lon_from_antisun_deg,lat_deg,filename
530,-60.0,12.0,prob_maps_grid_dlon-060_lat+12.npz
531,-50.0,12.0,prob_maps_grid_dlon-050_lat+12.npz
532,-40.0,12.0,prob_maps_grid_dlon-040_lat+12.npz
533,-30.0,12.0,prob_maps_grid_dlon-030_lat+12.npz
534,-20.0,12.0,prob_maps_grid_dlon-020_lat+12.npz
535,-10.0,12.0,prob_maps_grid_dlon-010_lat+12.npz
536,0.0,12.0,prob_maps_grid_dlon+000_lat+12.npz
537,10.0,12.0,prob_maps_grid_dlon+010_lat+12.npz
538,20.0,12.0,prob_maps_grid_dlon+020_lat+12.npz
539,30.0,12.0,prob_maps_grid_dlon+030_lat+12.npz
540,40.0,12.0,prob_maps_grid_dlon+040_lat+12.npz
541,50.0,12.0,prob_maps_grid_dlon+050_lat+12.npz
542,60.0,12.0,prob_maps_grid_dlon+060_lat+12.npz
543,70.0,12.0,prob_maps_grid_dlon+070_lat+12.npz
544,80.0,12.0,prob_maps_grid_dlon+080_lat+12.npz
545,90.0,12.0,prob_maps_grid_dlon+090_lat+12.npz
546,100.0,12.0,prob_maps_grid_dlon+100_lat+12.npz
547,110.0,12.0,prob_maps_grid_dlon+110_lat+12.npz
548,120.0,12.0,prob_maps_grid_dlon+120_lat+12.npz
549,130.0,12.0,prob_maps_grid_dlon+130_lat+12.npz
550,140.0,12.0,prob_maps_grid_dlon+140_lat+12.npz
551,-140.0,18.0,prob_maps_grid_dlon-140_lat+18.npz
552,-130.0,18.0,prob_maps_grid_dlon-130_lat+18.npz
553,-120.0,18.0,prob_maps_grid_dlon-120_lat+18.npz
554,-110.0,18.0,prob_maps_grid_dlon-110_lat+18.npz
555,-100.0,18.0,prob_maps_grid_dlon-100_lat+18.npz
556,-90.0,18.0,prob_maps_grid_dlon-090_lat+18.npz
557,-80.0,18.0,prob_maps_grid_dlon-080_lat+18.npz
558,-70.0,18.0,prob_maps_grid_dlon-070_lat+18.npz
559,-60.0,18.0,prob_maps_grid_dlon-060_lat+18.npz
560,-50.0,18.0,prob_maps_grid_dlon-050_lat+18.npz
561,-40.0,18.0,prob_maps_grid_dlon-040_lat+18.npz
562,-30.0,18.0,prob_maps_grid_dlon-030_lat+18.npz
563,-20.0,18.0,prob_maps_grid_dlon-020_lat+18.npz
564,-10.0,18.0,prob_maps_grid_dlon-010_lat+18.npz
565,0.0,18.0,prob_maps_grid_dlon+000_lat+18.npz
566,10.0,18.0,prob_maps_grid_dlon+010_lat+18.npz
567,20.0,18.0,prob_maps_grid_dlon+020_lat+18.npz
568,30.0,18.0,prob_maps_grid_dlon+030_lat+18.npz
569,40.0,18.0,prob_maps_grid_dlon+040_lat+18.npz
570,50.0,18.0,prob_maps_grid_dlon+050_lat+18.npz
571,60.0,18.0,prob_maps_grid_dlon+060_lat+18.npz
572,70.0,18.0,prob_maps_grid_dlon+070_lat+18.npz
573,80.0,18.0,prob_maps_grid_dlon+080_lat+18.npz
574,90.0,18.0,prob_maps_grid_dlon+090_lat+18.npz
575,100.0,18.0,prob_maps_grid_dlon+100_lat+18.npz
576,110.0,18.0,prob_maps_grid_dlon+110_lat+18.npz
577,120.0,18.0,prob_maps_grid_dlon+120_lat+18.npz
578,130.0,18.0,prob_maps_grid_dlon+130_lat+18.npz
579,140.0,18.0,prob_maps_grid_dlon+140_lat+18.npz
580,-140.0,25.0,prob_maps_grid_dlon-140_lat+25.npz
581,-130.0,25.0,prob_maps_grid_dlon-130_lat+25.npz
582,-120.0,25.0,prob_maps_grid_dlon-120_lat+25.npz
583,-110.0,25.0,prob_maps_grid_dlon-110_lat+25.npz
584,-100.0,25.0,prob_maps_grid_dlon-100_lat+25.npz
585,-90.0,25.0,prob_maps_grid_dlon-090_lat+25.npz
586,-80.0,25.0,prob_maps_grid_dlon-080_lat+25.npz
587,-70.0,25.0,prob_maps_grid_dlon-070_lat+25.npz
588,-60.0,25.0,prob_maps_grid_dlon-060_lat+25.npz
589,-50.0,25.0,prob_maps_grid_dlon-050_lat+25.npz
590,-40.0,25.0,prob_maps_grid_dlon-040_lat+25.npz
591,-30.0,25.0,prob_maps_grid_dlon-030_lat+25.npz
592,-20.0,25.0,prob_maps_grid_dlon-020_lat+25.npz
593,-10.0,25.0,prob_maps_grid_dlon-010_lat+25.npz
594,0.0,25.0,prob_maps_grid_dlon+000_lat+25.npz
595,10.0,25.0,prob_maps_grid_dlon+010_lat+25.npz
596,20.0,25.0,prob_maps_grid_dlon+020_lat+25.npz
597,30.0,25.0,prob_maps_grid_dlon+030_lat+25.npz
598,40.0,25.0,prob_maps_grid_dlon+040_lat+25.npz
599,50.0,25.0,prob_maps_grid_dlon+050_lat+25.npz
600,60.0,25.0,prob_maps_grid_dlon+060_lat+25.npz
601,70.0,25.0,prob_maps_grid_dlon+070_lat+25.npz
602,80.0,25.0,prob_maps_grid_dlon+080_lat+25.npz
603,90.0,25.0,prob_maps_grid_dlon+090_lat+25.npz
604,100.0,25.0,prob_maps_grid_dlon+100_lat+25.npz
