tracklet_uid,center_label,magnitude_bin,vlam,vbeta,population,w_phys,mean_mag_V,P_NEO_new,new_vdp_valid,new_vdp_reason,n_pops_new,rho_NEO_new,rho_MBA_new,rho_TNO_new,rho_Trojans_new,p_NEO_vs_OTHER,rho_NEO_pilot,rho_OTHER_pilot,total_density_pilot,pilot_reason,pilot_valid,score_diff_old_minus_new
T2:a942899576650481c0829c39d910e47b,dlon-060_lat-05,V024.50_024.75,-0.026771634368149354,0.021029014042606292,MBA,1.0,24.725245885842114,0.0006147021477488642,True,ok,4,878.0826923021924,1420035.9698762102,7261.676919953636,292.8312899026879,0.0006179703063073575,878.0826923021924,1420035.9698762102,1420914.0525685125,ok,True,-3.2681585584933307e-06
T2:4f9dcdff05d5fa104de7e88874e69726,dlon-060_lat-05,V024.25_024.50,0.03000210004610088,0.06244591171149181,MBA,1.0,24.3822145287732,,False,missing_population_density:Trojans,3,,,,,0.0009510571912319952,574.8438678237504,603851.3390403779,604426.1829082016,ok,True,
T2:61246da7fa8807836974068530d0b3ed,dlon-060_lat-05,V024.00_024.25,0.03808099638136289,0.05350787669623828,MBA,1.0,24.214972213049492,,False,missing_population_density:Trojans,3,,,,,0.0006240146455302824,431.73198900201805,691430.2172367823,691861.9492257843,ok,True,
T2:7676295b9698e57530eb8437e4d9dcf7,dlon-060_lat+00,V023.25_023.50,0.04761984505876364,-0.045413539976811475,MBA,1.0,23.459546135451678,,False,missing_population_density:Trojans,3,,,,,0.0007766371825401692,260.59529635025586,335282.56721090886,335543.1625072591,ok,True,
T2:0d8c71ce4c41d7aa5f6e231e33a72e39,dlon-060_lat+00,V024.00_024.25,-0.009735356052669857,-0.003386188212781341,MBA,1.0,24.227751972421256,,False,missing_population_density:Trojans,3,,,,,4.275911241396623e-05,632.2322201989288,14785273.84735561,14785906.079575809,ok,True,
T2:92b4b52cbe5a4c7a686bc7a5e90dd55a,dlon-060_lat-05,V023.00_023.25,0.0009257028559398863,0.007416604991498236,MBA,1.0,23.2464299285907,,False,missing_population_density:Trojans,3,,,,,0.0001299571860809111,247.30464212422407,1902722.8163810614,1902970.1210231858,ok,True,
T2:5b3afca141c8046f2d2743d5d487e474,dlon-060_lat+00,V022.75_023.00,0.03465051761269473,0.0013599564126387457,MBA,1.0,22.855370818381243,,False,missing_population_density:Trojans,3,,,,,0.0005033394216954275,189.61137107666025,376517.1652171373,376706.776588214,ok,True,
T2:fb0455ce039eb2c5b3188ba3efa618d9,dlon-060_lat-05,V023.75_024.00,-0.02813185301457026,0.09432720509332097,MBA,1.0,23.924144669924544,,False,missing_population_density:Trojans,3,,,,,0.0008075145446068624,212.87404147715517,263403.4817243409,263616.35576581804,ok,True,
T2:98e8dd2f3ae61e3ea95b8f0b03467d44,dlon-060_lat-05,V024.00_024.25,0.030220615769497677,-0.010378663136298885,MBA,1.0,24.1672789346138,,False,missing_population_density:Trojans,3,,,,,0.0002534180060377176,586.3242419986541,2313078.166952002,2313664.4911940005,ok,True,
T2:e66e2f2da4d15c969e75245691bb0867,dlon-060_lat-05,V024.25_024.50,-0.012730822906658583,-0.014910610806294916,MBA,1.0,24.316776064101887,,False,missing_population_density:Trojans,3,,,,,0.0007721012624508186,786.8261476475627,1018284.3577926611,1019071.1839403086,ok,True,
T2:71f06846a590e8549446ff4be054f279,dlon-060_lat+00,V024.00_024.25,0.008492833604721329,-0.014287340490047271,MBA,1.0,24.019143789967227,,False,missing_population_density:Trojans,3,,,,,0.0005532190442927216,582.0261889457829,1051489.8338640474,1052071.8600529933,ok,True,
T2:6b4deeb17fa5f3b2e244bbd9847afa26,dlon-060_lat-05,V021.00_021.25,0.1796429902938025,0.05347450804499718,MBA,1.0,21.099087321826513,,False,missing_population_density:Trojans,3,,,,,0.00025961869642165784,23.480355069903176,90418.21507570804,90441.69543077794,ok,True,
T2:82fd6a3837731916fbf8ba292a372807,dlon-060_lat-05,V021.00_021.25,0.11420935763760715,0.0779397940108558,MBA,1.0,21.063858249066897,,False,missing_population_density:Trojans,3,,,,,0.00035019518657159517,26.74199778050915,76336.38007226518,76363.12207004569,ok,True,
T2:14cd9496f74ba22f20cea7939814ee87,dlon-060_lat-05,V023.50_023.75,0.05473175279367949,0.004648607490857788,MBA,1.0,23.58693056205909,,False,missing_population_density:Trojans,3,,,,,0.0004678381907304713,343.8185432087987,734565.2804167729,734909.0989599817,ok,True,
T2:68db97f0c465ffa94e2626ba32ca69dd,dlon-060_lat+00,V023.75_024.00,0.09672188717933763,0.03392514980430068,MBA,1.0,23.7758792580908,,False,missing_population_density:Trojans,3,,,,,0.00047809626161445483,340.1263651930931,711078.0387644413,711418.1651296343,ok,True,
T2:1417678179027f4a742f7f36f39852db,dlon-060_lat+00,V022.50_022.75,0.017109871513772003,0.044345052051087686,MBA,1.0,22.577309675645232,,False,missing_population_density:Trojans,3,,,,,0.0006012341262378575,132.49526497403468,220239.66791063637,220372.16317561042,ok,True,
T2:0ce51b90ac59658869c9cc647d63b7b3,dlon-060_lat-05,V023.50_023.75,-0.0036973104259717033,0.07059376734331282,MBA,1.0,23.53108592712962,,False,missing_population_density:Trojans,3,,,,,0.0007549593907569932,226.59174851563643,299911.0729918809,300137.6647403965,ok,True,
T2:34aa5f5cd03ee8d6104470e8eee2519f,dlon-060_lat+00,V023.25_023.50,0.05210357502628323,0.01679275716470219,MBA,1.0,23.324105872842395,,False,missing_population_density:Trojans,3,,,,,0.0004908286024168027,276.4241265767012,562902.0972872322,563178.5214138089,ok,True,
T2:02ef48be9450f2d1db37319c1be98bca,dlon-060_lat+00,V022.75_023.00,0.040176107845552554,-0.005735076103193262,MBA,1.0,22.89271879771677,,False,missing_population_density:Trojans,3,,,,,0.0003744394204935399,191.35892980381388,510863.0849414855,511054.4438712893,ok,True,
T2:32d532318d02dc198fddb4447205e71e,dlon-060_lat-05,V024.25_024.50,0.12748219305045166,0.11420716459175553,MBA,1.0,24.462392636453806,,False,missing_population_density:Trojans,3,,,,,0.0010069484041196617,239.050555272385,237161.9466501189,237400.99720539126,ok,True,
T2:41b8df08745e46146b8a8ef135ddbef2,dlon-060_lat+00,V024.25_024.50,0.06587016403742141,-0.033150271381204195,MBA,1.0,24.336618856945666,,False,missing_population_density:Trojans,3,,,,,0.0005536514855712278,523.8095227516917,945575.9236175888,946099.7331403405,ok,True,
T2:943cbc735579fee1528b815f54a4d789,dlon-060_lat+00,V023.00_023.25,0.13811633192213968,-0.014066933817318104,MBA,1.0,23.041576267764867,,False,missing_population_density:Trojans,3,,,,,0.0002753278003866823,168.9225897381407,613363.7083356478,613532.630925386,ok,True,
T2:103e21f7909140dc2ec055683eea1298,dlon-060_lat+00,V024.25_024.50,0.023867825073500354,-0.00527013116362363,MBA,1.0,24.34219141421709,,False,missing_population_density:Trojans,3,,,,,0.0008705810264317553,673.8517616924927,773351.4729739091,774025.3247356015,ok,True,
