population,n_rows,n_old_valid,frac_old,n_new_valid,frac_new,delta_frac,n_new_only
NEO,76,8,0.10526315789473684,73,0.9605263157894737,0.8552631578947368,65
MBA,2339,249,0.10645575032064986,2303,0.9846088071825566,0.8781530568619067,2054
TNO,49,8,0.16326530612244897,49,1.0,0.8367346938775511,41
