map_center_id,n_rows,n_old_valid,frac_old,n_new_valid,frac_new,delta_frac,n_old_only,n_new_only
dlon-060_lat+00,996,105,0.10542168674698796,977,0.9809236947791165,0.8755020080321285,0,872
dlon-060_lat-05,1468,160,0.10899182561307902,1448,0.9863760217983651,0.8773841961852862,0,1288
