classifier,frozen,endpoint_completed,difference,n_attainable_points_below_L,first_attainable_FPR,last_attainable_FPR
new,0.7147609173634876,0.7148668340598477,0.00010591669636017542,13607,0.0,0.009998614190687361
legacy,0.7200722148335346,0.7201775090716979,0.00010529423816330041,13544,0.0,0.009998614190687361
digest2,0.634910263165861,0.6437204231614331,0.008810159995572109,29,0.0,0.00987389135254989
