stage,rows,pct_of_all,weight,NEO,MBA,TNO,Trojans
all TEST2,688688,100.0,643789.6735302932,49887,614710,7575,16516
new valid,302735,43.958222010547594,290110.6925573681,14027,268682,3930,16096
legacy valid,686100,99.62421299630601,643530.8749034685,47299,614710,7575,16516
paired new-legacy,302735,43.958222010547594,290110.6925573681,14027,268682,3930,16096
common three-way,302666,43.948202959830866,290042.5925578987,14026,268682,3862,16096
