population,classifier,n,q0.5,q0.9,q0.95,q0.99,q0.999
NEO,new,14027,0.2803469934038835,0.8013786877653659,0.8630363807523844,0.9281812547237777,0.9639852733154325
NEO,legacy,14027,0.5076794504382368,0.9268613899107229,0.953503090859339,0.9780909426445852,0.9887210407930753
MBA,new,268682,0.0005514424168635381,0.0016057605449024427,0.003093815583751389,0.015556458300526608,0.10227707067396521
MBA,legacy,268682,0.0005815662400357492,0.0018034701131533863,0.003402505942679735,0.017241446747923786,0.11942084778452342
TNO,new,3930,2.1404003633351223e-05,7.703085159839907e-05,0.00011256226496517736,0.00021935650676106422,0.0011436136706958482
TNO,legacy,3930,2.4645049396873445e-05,9.50842872923095e-05,0.00010911472145336168,0.00017001617558849545,0.001318857659544963
Trojans,new,16096,0.0004925681728743717,0.0011600995516072746,0.0015354088416818091,0.002848977877101075,0.005752260541042224
Trojans,legacy,16096,0.0005431641386678895,0.0013338263271368334,0.0018082274929419992,0.003292733078261384,0.007871066855224845
