FPR,delta_TPR,ci_lo,ci_hi,frac_favouring_legacy,excludes_zero,note
0.001,-0.020888286875312634,-0.02851643259428338,-0.016464675269124388,1.0,True,TPR interpolated at the fixed FPR
0.005,0.0020674413630831223,-0.0015006772652724624,0.003958437299489433,0.15,False,TPR interpolated at the fixed FPR
0.01,0.004562629215080105,0.001958722463817603,0.007271690311534021,0.0,True,TPR interpolated at the fixed FPR
0.02,0.001639694874169484,-0.0004990375703993744,0.003992300563195106,0.056,False,TPR interpolated at the fixed FPR
0.05,0.0004990375703993744,-0.001320667284521254,0.002532615669776934,0.254,False,TPR interpolated at the fixed FPR
