snapshot_id,fetched_at_utc,batch_id,designation,ephem_time_utc,ra_hms,ra_deg,dec_dms,dec_deg,elong_deg,v_mag,motion_arcsec_per_min,pa_deg,uncertainty,source_url
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-19T18:00:00Z,22 37 44.1,339.43375000000003,+24 34 41,24.578055555555554,119.8,18.2,90.71,74.5,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-19T19:00:00Z,22 44 12.3,341.05125,+24 58 34,24.97611111111111,118.5,18.2,91.85,75.2,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-19T20:00:00Z,22 50 47.7,342.69874999999996,+25 21 39,25.360833333333336,117.2,18.2,92.89,75.9,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-19T21:00:00Z,22 57 29.7,344.37375,+25 43 51,25.730833333333333,115.9,18.2,93.8,76.6,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-19T22:00:00Z,23 04 17.8,346.07416666666666,+26 05 05,26.084722222222222,114.5,18.3,94.59,77.3,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-19T23:00:00Z,23 11 11.5,347.79791666666665,+26 25 16,26.421111111111113,113.2,18.3,95.24,78.1,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T00:00:00Z,23 18 10.1,349.5420833333333,+26 44 19,26.738611111111112,111.8,18.3,95.75,78.9,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T01:00:00Z,23 25 12.9,351.30375000000004,+27 02 09,27.035833333333336,110.4,18.4,96.11,79.7,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T02:00:00Z,23 32 19.1,353.07958333333335,+27 18 43,27.311944444444446,109.0,18.4,96.33,80.5,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T03:00:00Z,23 39 28.0,354.8666666666667,+27 33 56,27.565555555555555,107.6,18.5,96.39,81.3,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T04:00:00Z,23 46 38.8,356.6616666666667,+27 47 47,27.79638888888889,106.2,18.5,96.31,82.2,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T05:00:00Z,23 53 50.6,358.4608333333333,+28 00 13,28.003611111111113,104.8,18.6,96.07,83.0,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T06:00:00Z,00 01 02.5,0.2604166666666667,+28 11 12,28.186666666666667,103.4,18.6,95.69,83.8,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T07:00:00Z,00 08 13.8,2.0575,+28 20 43,28.345277777777778,102.1,18.7,95.16,84.7,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T08:00:00Z,00 15 23.5,3.847916666666667,+28 28 47,28.47972222222222,100.7,18.7,94.49,85.6,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T09:00:00Z,00 22 30.9,5.628749999999999,+28 35 23,28.58972222222222,99.3,18.8,93.69,86.4,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T10:00:00Z,00 29 35.1,7.39625,+28 40 33,28.675833333333333,97.9,18.8,92.76,87.2,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T11:00:00Z,00 36 35.5,9.147916666666665,+28 44 18,28.738333333333333,96.6,18.9,91.71,88.1,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T12:00:00Z,00 43 31.2,10.88,+28 46 40,28.77777777777778,95.3,19.0,90.55,88.9,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T13:00:00Z,00 50 21.6,12.59,+28 47 42,28.795,94.0,19.0,89.29,89.7,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T14:00:00Z,00 57 06.0,14.275,+28 47 28,28.791111111111114,92.7,19.1,87.93,90.6,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T15:00:00Z,01 03 44.1,15.933750000000002,+28 46 00,28.766666666666666,91.4,19.2,86.5,91.4,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T16:00:00Z,01 10 15.1,17.562916666666666,+28 43 23,28.723055555555554,90.2,19.2,85.0,92.1,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260719T190002Z,2026-07-19T19:00:02.005029Z,20260719T190002Z_batch01,A11EXt4,2026-07-20T17:00:00Z,01 16 38.7,19.16125,+28 39 40,28.66111111111111,88.9,19.3,83.43,92.9,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
