snapshot_id,fetched_at_utc,batch_id,designation,ephem_time_utc,ra_hms,ra_deg,dec_dms,dec_deg,elong_deg,v_mag,motion_arcsec_per_min,pa_deg,uncertainty,source_url
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T14:00:00Z,21 56 38.8,329.1616666666667,-32 31 49,-32.530277777777776,144.3,20.2,2.03,112.1,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T15:00:00Z,21 56 47.7,329.19875,-32 32 35,-32.543055555555554,144.3,20.2,2.03,112.1,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T16:00:00Z,21 56 56.6,329.23583333333335,-32 33 20,-32.55555555555555,144.3,20.2,2.03,112.1,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T17:00:00Z,21 57 05.6,329.2733333333333,-32 34 06,-32.568333333333335,144.3,20.2,2.03,112.1,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T18:00:00Z,21 57 14.5,329.3104166666667,-32 34 52,-32.58111111111111,144.3,20.2,2.03,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T19:00:00Z,21 57 23.5,329.34791666666666,-32 35 38,-32.59388888888889,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T20:00:00Z,21 57 32.4,329.385,-32 36 24,-32.60666666666667,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T21:00:00Z,21 57 41.4,329.4225,-32 37 10,-32.61944444444445,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T22:00:00Z,21 57 50.4,329.46,-32 37 55,-32.63194444444444,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-11T23:00:00Z,21 57 59.4,329.4975,-32 38 41,-32.64472222222222,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T00:00:00Z,21 58 08.4,329.53499999999997,-32 39 27,-32.6575,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T01:00:00Z,21 58 17.4,329.5725,-32 40 13,-32.67027777777778,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T02:00:00Z,21 58 26.4,329.60999999999996,-32 40 59,-32.683055555555555,144.3,20.2,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T03:00:00Z,21 58 35.4,329.6475,-32 41 45,-32.69583333333333,144.3,20.1,2.04,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T04:00:00Z,21 58 44.4,329.685,-32 42 31,-32.70861111111111,144.3,20.1,2.05,112.0,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T05:00:00Z,21 58 53.4,329.72249999999997,-32 43 17,-32.72138888888889,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T06:00:00Z,21 59 02.4,329.76000000000005,-32 44 02,-32.73388888888889,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T07:00:00Z,21 59 11.5,329.79791666666665,-32 44 48,-32.74666666666667,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T08:00:00Z,21 59 20.5,329.8354166666667,-32 45 34,-32.75944444444445,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T09:00:00Z,21 59 29.5,329.8729166666667,-32 46 20,-32.77222222222222,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T10:00:00Z,21 59 38.6,329.9108333333333,-32 47 06,-32.785,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T11:00:00Z,21 59 47.7,329.94875,-32 47 52,-32.797777777777775,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T12:00:00Z,21 59 56.7,329.98625000000004,-32 48 38,-32.81055555555555,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T13:00:00Z,22 00 05.8,330.02416666666664,-32 49 24,-32.82333333333334,144.3,20.1,2.05,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,S001621,2026-07-12T14:00:00Z,22 00 14.9,330.06208333333336,-32 50 10,-32.836111111111116,144.3,20.1,2.06,111.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T14:00:00Z,21 44 05.9,326.02458333333334,+05 39 19,5.655277777777778,135.5,21.4,3.27,13.3,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T15:00:00Z,21 44 09.0,326.0375,+05 42 30,5.708333333333334,135.5,21.4,3.28,13.3,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T16:00:00Z,21 44 12.0,326.05,+05 45 42,5.761666666666667,135.5,21.4,3.28,13.3,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T17:00:00Z,21 44 15.0,326.0625,+05 48 54,5.8149999999999995,135.5,21.4,3.29,13.2,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T18:00:00Z,21 44 18.0,326.075,+05 52 06,5.868333333333334,135.5,21.4,3.29,13.2,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T19:00:00Z,21 44 21.1,326.08791666666673,+05 55 18,5.921666666666667,135.5,21.4,3.3,13.2,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T20:00:00Z,21 44 24.1,326.1004166666667,+05 58 31,5.9752777777777775,135.4,21.4,3.3,13.2,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T21:00:00Z,21 44 27.1,326.1129166666667,+06 01 44,6.028888888888889,135.4,21.4,3.3,13.2,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260711T150001Z,2026-07-11T15:00:01.689246Z,20260711T150001Z_batch01,P12o2DL,2026-07-11T22:00:00Z,21 44 30.1,326.1254166666667,+06 04 57,6.0825,135.4,21.4,3.31,13.1,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
