snapshot_id,fetched_at_utc,batch_id,designation,ephem_time_utc,ra_hms,ra_deg,dec_dms,dec_deg,elong_deg,v_mag,motion_arcsec_per_min,pa_deg,uncertainty,source_url
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T02:00:00Z,21 07 01.8,316.7575,+19 11 33,19.1925,135.3,20.0,34.19,59.2,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T03:00:00Z,21 09 04.8,317.27,+19 28 48,19.479999999999997,134.9,20.0,33.32,59.3,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T04:00:00Z,21 11 05.1,317.77125,+19 45 32,19.75888888888889,134.4,20.0,32.48,59.5,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T05:00:00Z,21 13 02.8,318.26166666666666,+20 01 46,20.029444444444444,134.0,20.1,31.67,59.7,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T06:00:00Z,21 14 57.9,318.74125000000004,+20 17 31,20.291944444444447,133.6,20.1,30.88,59.9,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T07:00:00Z,21 16 50.5,319.2104166666666,+20 32 47,20.54638888888889,133.2,20.2,30.11,60.0,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T08:00:00Z,21 18 40.7,319.6695833333333,+20 47 37,20.79361111111111,132.8,20.2,29.37,60.2,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T09:00:00Z,21 20 28.6,320.1191666666666,+21 02 00,21.033333333333335,132.4,20.2,28.65,60.3,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T10:00:00Z,21 22 14.2,320.55916666666667,+21 15 58,21.266111111111112,132.0,20.3,27.95,60.5,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T11:00:00Z,21 23 57.5,320.9895833333333,+21 29 32,21.492222222222225,131.7,20.3,27.28,60.7,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T12:00:00Z,21 25 38.7,321.41125000000005,+21 42 42,21.711666666666666,131.3,20.3,26.62,60.8,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T13:00:00Z,21 27 17.7,321.82374999999996,+21 55 30,21.925,130.9,20.4,25.99,61.0,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T14:00:00Z,21 28 54.7,322.2279166666666,+22 07 55,22.131944444444446,130.6,20.4,25.37,61.1,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260718T030001Z,2026-07-18T03:00:01.577318Z,20260718T030001Z_batch01,ST26G56,2026-07-18T15:00:00Z,21 30 29.6,322.62333333333333,+22 20 00,22.333333333333332,130.3,20.4,24.78,61.3,Map/Offsets   !,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
