snapshot_id,fetched_at_utc,batch_id,designation,ephem_time_utc,ra_hms,ra_deg,dec_dms,dec_deg,elong_deg,v_mag,motion_arcsec_per_min,pa_deg,uncertainty,source_url
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T14:00:00Z,16 54 22.5,253.59375,+14 17 57,14.299166666666666,143.0,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T15:00:00Z,16 54 23.5,253.59791666666663,+14 18 48,14.313333333333334,143.0,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T16:00:00Z,16 54 24.4,253.60166666666663,+14 19 39,14.3275,142.9,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T17:00:00Z,16 54 25.3,253.60541666666666,+14 20 29,14.34138888888889,142.9,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T18:00:00Z,16 54 26.2,253.60916666666662,+14 21 20,14.355555555555556,142.9,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T19:00:00Z,16 54 27.2,253.61333333333332,+14 22 10,14.369444444444445,142.9,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T20:00:00Z,16 54 28.1,253.6170833333333,+14 23 01,14.38361111111111,142.9,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T21:00:00Z,16 54 29.0,253.62083333333328,+14 23 51,14.397499999999999,142.9,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T22:00:00Z,16 54 29.9,253.6245833333333,+14 24 41,14.411388888888888,142.9,21.6,0.87,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
20260525T154435Z,2026-05-25T15:44:35.016205Z,20260525T154435Z_batch01,P12nfwU,2026-05-25T23:00:00Z,16 54 30.8,253.62833333333333,+14 25 31,14.425277777777778,142.9,21.6,0.86,14.9,Map/Offsets,https://cgi.minorplanetcenter.net/cgi-bin/confirmeph2.cgi
