n_rho,n_rhodot,gamma,spearman_d2,auc_L1,f1_L1,nan_frac,auc_d2,f1_d2
32,16,0.0,0.7617990938190201,0.9610054831588691,0.8881057268722468,0.0005,0.9254749844485914,0.8309090909090909
32,16,2.0,0.6289484603161215,0.9676428351017115,0.8947134606841403,0.0005,0.9254749844485914,0.8309090909090909
32,16,4.0,0.5775898719252498,0.964355906857509,0.891020052310375,0.0005,0.9254749844485914,0.8309090909090909
64,32,0.0,0.7922583123895032,0.9645259122886595,0.8913427561837456,0.00025,0.9254749844485914,0.8309090909090909
64,32,2.0,0.6384791169027876,0.9700851736231549,0.9051799824407375,0.00025,0.9254749844485914,0.8309090909090909
64,32,4.0,0.6093673626010305,0.9687172965008553,0.8975903614457832,0.00025,0.9254749844485914,0.8309090909090909
128,64,0.0,0.8045851727439115,0.9651271378638704,0.8903625110521663,0.00025,0.9254749844485914,0.8309090909090909
128,64,2.0,0.647822632058715,0.9710632028009759,0.9008300567933596,0.00025,0.9254749844485914,0.8309090909090909
128,64,4.0,0.6257038059539899,0.9703997201395744,0.9008300567933596,0.00025,0.9254749844485914,0.8309090909090909
