tracklet_id,source_file,source_file_index,ObjID,night,n_det,night_span_min,dt_min,mean_ra,mean_dec,mean_dra,mean_ddec,mean_mag,ra0,dec0,mjd0_tai,mjd0_utc,mag0,filter0,snr0,ra1,dec1,mjd1_tai,mjd1_utc,mag1,filter1,snr1,H_r,H_filter,range_km,obj_sun_km,ecl_lon,ecl_lat,prob_map,prob_map_file,prob_map_obstime_str,prob_map_center_lon_deg,prob_map_center_lat_deg,prob_map_dist_deg,population,a_au,e,q_au,n_det_per_night,P_NEO_vdp,vlam,vbeta,mag_bin_label,digest2_id,P_NEO_d2,mean_mag_V,mag_bin_label_Vband,P_NEO_vdp_Vband,observationId0,observationStartMJD0,visitExposureTime0,visitTime0,fieldRA0,fieldDec0,rotSkyPos0,band0,visit_match_error_s0,observationId1,observationStartMJD1,visitExposureTime1,visitTime1,fieldRA1,fieldDec1,rotSkyPos1,band1,visit_match_error_s1,field_key,on_sensor0,detector0,on_sensor1,detector1,field_label
inst00305_part003:S100BZtZa:61642,inst00305_part003.h5,4883,S100BZtZa,61642,2,34.173501619370654,34.173501619370654,331.3198952448246,-10.22600475333177,-0.243910732045925,0.017290731902801948,22.083369028191168,331.3227807182177,-10.226212786106094,61642.14693033903,61642.146502098294,22.336315517999427,r,25.045952849769822,331.3170097714315,-10.225796720557446,61642.17066193738,61642.17023369664,21.83042253838291,i,28.589003509293338,18.633492301749875,18.385429337953518,274966201.37421304,426135483.3613721,329.72464293216115,1.4317569884484773,grid_dlon+000_lat+01,prob_maps_grid_dlon+000_lat+01.npz,2026-01-01T00:00:00,100.20000624993276,1.0,3.47741859088205,MBA,3.1868531916842207,0.12648,2.78378,2,0.00033702377868648496,-0.2189683535886087,0.09999580880416364,mag22,D000343,0.0,22.67793969023765,mag22,0.00010991804535834554,373773,61642.14675094088,30.0,31.0,330.4153278564736,-10.669984224775128,173.57048323698308,r,0.0,373825,61642.17048253923,30.0,31.0,330.4153278564736,-10.669984224775128,156.47074690898765,i,0.0,373773-373825,True,81,True,84,N
inst00293_part003:S100A4zya:61642,inst00293_part003.h5,4691,S100A4zya,61642,2,36.45291106891818,36.45291106891818,308.21367306470574,-20.793119711130217,-0.24934580253733446,0.07226258900828894,23.149780834124307,308.2168194036324,-20.79402763470201,61642.20517481482,61642.20474657408,23.265741634230547,i,7.5055368590392035,308.2105267257791,-20.792211787558422,61642.2304893364,61642.23006109566,23.03382003401807,z,5.152334346356282,19.88172423959736,19.27113792081876,253923478.99246463,395352724.977117,305.35043578937,-1.9209337032533278,grid_dlon-030_lat-02,prob_maps_grid_dlon-030_lat-02.npz,2026-01-01T00:00:00,70.20000624993276,-2.0,2.119350240972544,MBA,2.330256036495661,0.25909,1.72651,2,0.002891083164982312,-0.20825604148070692,0.1274292093776347,mag23,D001149,0.01,24.108642913305548,mag24+,0.0026951554743485672,373905,61642.20499541667,30.0,31.0,308.8151615658631,-22.414323129384417,73.50827098113933,i,0.0,373961,61642.23030993825,30.0,31.0,308.8151615658631,-22.414323129384417,71.32351469269727,z,0.0,373905-373961,True,75,True,75,H
inst00289_part002:S100zpXVa:61642,inst00289_part002.h5,4626,S100zpXVa,61642,3,34.17312336503528,34.17312336503528,317.359891038255,-13.2272744804694,-0.2125459732708362,-0.11535172800897585,23.11751159958463,317.36242625847706,-13.225912281579596,61642.14349528497,61642.14306704423,23.307498828131596,r,11.561733435695873,317.357355818033,-13.228636679359207,61642.16722662064,61642.1667983799,22.92752437103767,i,9.325825213101082,20.348879224237244,20.12855421628843,196909120.27590483,344890899.38103515,315.8109636121961,3.0018956777069805,grid_dlon-020_lat+03,prob_maps_grid_dlon-020_lat+03.npz,2026-01-01T00:00:00,80.20000624993276,3.0,2.6391974062149,MBA,2.3671723484032237,0.07188,2.19702,3,0.00117442155669543,-0.2319436672496018,-0.04966152015407624,mag23,D001564,0.0,23.6089573832962,mag23,0.0011101560791838964,373765,61642.14331588682,30.0,31.0,315.6825177941189,-13.277114016451204,144.96652051211944,r,0.0,373817,61642.167047222494,30.0,31.0,315.6825177941189,-13.277114016451204,120.54319117917052,i,6.28642737865448e-07,373765-373817,True,124,True,165,A
inst00236_part011:S100rxCpa:61642,inst00236_part011.h5,3787,S100rxCpa,61642,2,34.21338453772478,34.21338453772478,347.43432362278935,-10.63106100720206,-0.19242130106184796,-0.07885190646173215,22.604276975854766,347.43661474566306,-10.63012402056407,61642.253589535016,61642.25316129428,23.03597320362343,g,17.264143196871,347.4320324999156,-10.631997993840049,61642.27734882983,61642.276920589095,22.172580748086098,r,31.645286620643958,18.23262021363077,18.646365873287138,269494382.84562075,417964817.2413141,344.30066122622367,-4.83040650230998,grid_dlon+010_lat-05,prob_maps_grid_dlon+010_lat-05.npz,2026-01-01T00:00:00,110.20000624993276,-5.0,1.034378512991516,MBA,2.8718242910998195,0.02384,2.80336,2,0.0005029186416688299,-0.20562610998807207,0.001066579337955345,mag22,D002329,0.01,22.55791110256763,mag22,0.00032202929837687593,374006,61642.253410136866,30.0,31.0,347.6615257772227,-8.854711246793014,125.93350398601339,g,0.0,374058,61642.27716943168,30.0,31.0,347.6615257772227,-8.854711246793014,109.34834614082037,r,0.0,374006-374058,True,161,True,155,B
inst00138_part007:S100ecFga:61642,inst00138_part007.h5,2215,S100ecFga,61642,2,34.17127062915824,34.17127062915824,320.735984245889,-14.878271168966203,-0.203894871810968,-0.1476657387208217,23.15144528691484,320.7384098637831,-14.876503299550198,61642.14436164236,61642.14393340162,23.429724640134985,r,9.614264135608144,320.7335586279949,-14.880039038382208,61642.168091691405,61642.167663450666,22.873165933694693,i,8.362968036929296,20.86372678016621,20.60897287640455,183228602.18582368,332362083.53725326,318.43970200928857,0.4430207113360325,grid_dlon-010_lat+00,prob_maps_grid_dlon-010_lat+00.npz,2026-01-01T00:00:00,90.20000624993276,0.0,4.75360899982876,MBA,2.4013093218965724,0.07433,2.22282,2,0.0019802931099445692,-0.23296585394249067,-0.07979707928564854,mag23,D003902,0.0,23.762472410510284,mag23,0.00033676562733013027,373767,61642.14418224421,30.0,31.0,321.102050420575,-13.536656576810467,159.46952532922018,r,0.0,373819,61642.167912293255,30.0,31.0,321.102050420575,-13.536656576810467,134.67718928161105,i,0.0,373767-373819,True,181,True,156,P
inst00112_part009:S100aXeoa:61642,inst00112_part009.h5,1801,S100aXeoa,61642,2,34.328452760819346,34.328452760819346,256.7121363452389,-23.627417207324612,0.13253195025779393,-0.00749926564014545,22.10789489612384,256.7105619671464,-23.627321531214204,61642.05405392916,61642.05362568842,22.396033162743844,r,21.123018416934986,256.71371072333136,-23.62751288343502,61642.07789313247,61642.07746489173,21.81975662950384,i,21.183462741680138,17.16265064956528,16.908742821973306,364064807.73342353,432224270.11794686,257.83897012532924,-0.747174381268018,grid_dlon-080_lat-01,prob_maps_grid_dlon-080_lat-01.npz,2026-01-01T00:00:00,20.200006249932756,-1.0,4.76207743468197,MBA,3.0250536703795703,0.11031,2.69136,2,0.0014695273721540994,0.12160934300815658,0.0036342782880675753,mag22,D004526,0.01,22.739152074150535,mag22,0.0011390193055477846,373567,61642.05387453101,30.0,31.0,255.57356396909347,-22.958749626878994,72.95550297090713,r,0.0,373619,61642.07771373432,30.0,31.0,255.57356396909347,-22.958749626878994,70.77344610239842,i,0.0,373567-373619,True,149,True,149,V
inst00317_part012:S100DZkAa:61642,inst00317_part012.h5,5084,S100DZkAa,61642,2,34.18257205397822,34.18257205397822,262.99258936632515,-23.195509989056873,0.050932855425956526,0.00450983669849005,22.678829124383107,262.9919648200941,-23.19560582039795,61642.10585084488,61642.10542260414,22.776172063101658,i,8.573613663239508,262.9932139125562,-23.195414157715792,61642.12958874214,61642.1291605014,22.581486185664556,z,7.846795131939692,17.999957387707358,17.401534176738565,376807980.0604651,456060785.6172762,263.55765270148123,0.0872927534633678,grid_dlon-070_lat+00,prob_maps_grid_dlon-070_lat+00.npz,2026-01-01T00:00:00,30.200006249932756,0.0,0.43190502427628913,MBA,2.636622809633438,0.16167,2.21036,2,0.001369757590261777,0.046541803239419643,0.006776396698226199,mag22,D004589,0.0,23.61729494764454,mag23,0.0015860744379918663,373684,61642.105671446734,30.0,31.0,262.3464125266547,-22.444355960056903,71.11750764041383,i,6.28642737865448e-07,373736,61642.12940934399,30.0,31.0,262.3464125266547,-22.444355960056903,70.824918879744,z,0.0,373684-373736,True,107,True,107,Z
inst00148_part001:S100fq9wa:61642,inst00148_part001.h5,2369,S100fq9wa,61642,2,34.20976972673088,34.20976972673088,347.1818918364536,-14.165916326663382,-0.17361007060783018,-0.12109392388246576,20.975041686133835,347.18395278165775,-14.164482899554491,61642.254867323965,61642.254439083226,21.24786552286853,g,87.92371411399358,347.1798308912495,-14.167349753772275,61642.2786241085,61642.27819586776,20.702217849399144,r,122.62832025859583,16.162798272891994,16.452164705033937,317327974.62265605,465623127.28498304,342.68287680667606,-7.988259168181888,grid_dlon+010_lat-08,prob_maps_grid_dlon+010_lat-08.npz,2026-01-01T00:00:00,110.20000624993276,-8.0,0.5987801320063916,MBA,3.01311399492701,0.04987,2.86285,2,0.00039966299940443265,-0.20429305794572025,-0.04549025506478567,mag20,D006749,0.02,20.942876981099904,mag20,0.00035179382307639793,374009,61642.254687925815,30.0,31.0,346.6804859599491,-14.744148465919585,117.19964498642732,g,0.0,374061,61642.27844471035,30.0,31.0,346.6804859599491,-14.744148465919585,99.02150734848671,r,0.0,374009-374061,True,88,True,127,Y
inst00156_part012:S100gyCaa:61642,inst00156_part012.h5,2508,S100gyCaa,61642,2,34.312762225745246,34.312762225745246,248.4998059370654,-31.159883775765053,0.13678324146440635,0.0232168909211044,21.820855789888448,248.4981722638994,-31.160157761616635,61642.05831489474,61642.057886654,22.06009737946136,r,28.79374525594166,248.50143961023136,-31.159609789913468,61642.08214320184,61642.0817149611,21.58161420031554,i,32.59018306749547,16.50268400259067,16.258285870959835,403027774.85146093,454563313.06583464,251.47716238711504,-9.092450431139332,grid_dlon-080_lat-08,prob_maps_grid_dlon-080_lat-08.npz,2026-01-01T00:00:00,20.200006249932756,-8.0,1.9461784983064427,MBA,2.7381811598575827,0.17145,2.26872,2,0.0025487735900238807,0.1137680592078254,0.0402438417747439,mag21,D007289,0.77,22.402569918928613,mag22,0.0026398759676567935,373577,61642.05813549659,30.0,31.0,247.8261477933222,-30.764583262605335,58.24793538934472,r,0.0,373629,61642.08196380369,30.0,31.0,247.8261477933222,-30.764583262605335,60.83513165254162,i,0.0,373577-373629,True,106,True,106,T
inst00327_part005:S100Fw4Ka:61642,inst00327_part005.h5,5237,S100Fw4Ka,61642,2,34.34539839159697,34.34539839159697,272.9042747466368,-22.76467845809838,0.12554099399922203,-0.0425611704737483,20.340683314789196,272.9027765860655,-22.76417090226583,61642.09502691247,61642.094598671734,20.44553836297961,i,86.17653635126732,272.9057729072082,-22.765186013930933,61642.11887788358,61642.11844964284,20.23582826659878,z,72.13044337171695,18.15066694582517,17.522714386719056,167080914.31299102,277654878.94301677,272.6741684592125,0.6476079844769497,grid_dlon-060_lat+01,prob_maps_grid_dlon-060_lat+01.npz,2026-01-01T00:00:00,40.200006249932756,1.0,0.5714162206509525,MBA,2.213635393251372,0.20369,1.76274,2,0.0008822691176348012,0.11488756014001947,-0.04488577351398626,mag20,D011047,0.03,21.31796892807014,mag21,0.0008218230924278734,373659,61642.094847514316,30.0,31.0,272.320612345032,-21.213523687699524,77.52003801990354,i,6.28642737865448e-07,373711,61642.11869848543,30.0,31.0,272.320612345032,-21.213523687699524,73.83158954872613,z,0.0,373659-373711,True,116,True,113,F
