snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260511T033021Z,2026-05-11T03:30:21.601044Z,ST26E34,100,1.0,2026-05-10.50,14.8736,223.10399999999998,17.1864,20.5,Added,May 10.70 UT,,2,0.0,26.4,0.688,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,ST26E31,93,0.93,2026-05-10.40,14.2197,213.2955,-4.4664,18.7,Updated,May 11.06 UT,,18,0.6,25.9,0.11,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,ZTF10Dp,100,1.0,2026-05-10.20,11.6358,174.537,9.0409,18.3,Added,May 10.57 UT,,4,0.03,21.9,0.906,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,6E94521,100,1.0,2026-05-10.40,19.3553,290.3295,-55.8119,18.2,Added,May 10.41 UT,,3,0.01,20.8,0.774,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,CELUGK2,100,1.0,2026-05-10.30,14.8034,222.051,28.8257,21.5,Updated,May 10.44 UT,,11,0.1,23.4,0.713,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,ZTF10Do,98,0.98,2026-05-10.20,13.1872,197.80800000000002,-5.5701,18.4,Updated,May 10.48 UT,,6,0.23,26.6,0.689,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,CELU1Q2,100,1.0,2026-05-10.20,11.5817,173.72549999999998,31.3578,22.5,Updated,May 10.32 UT,,7,0.11,25.8,0.838,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,ST26E24,98,0.98,2026-05-10.20,6.8886,103.32900000000001,-29.0466,19.9,Updated,May 10.52 UT,,13,0.29,29.1,0.673,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,ZTF10Dn,100,1.0,2026-05-09.30,16.704,250.56,-12.6594,19.6,Added,May 9.51 UT,,4,0.04,26.9,1.813,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260511T033021Z,2026-05-11T03:30:21.601044Z,XA9ttXA,89,0.89,2026-05-08.80,15.1328,226.992,1.8138,22.4,Updated,May 11.14 UT,,11,2.36,21.1,0.03,https://minorplanetcenter.net/iau/NEO/neocp.txt
