snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260522T184249Z,2026-05-22T18:42:49.104802Z,SO0006A,100,1.0,2026-05-22.70,20.8502,312.75300000000004,-35.1839,19.1,Added,May 22.70 UT,,4,0.01,23.9,0.097,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,ST26EE8,98,0.98,2026-05-22.20,15.2651,228.97650000000002,13.0184,18.6,Updated,May 22.69 UT,,5,0.22,27.0,0.313,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,MKp7968,95,0.95,2026-05-17.70,14.1215,211.8225,5.4011,21.6,Added,May 22.41 UT,,6,4.04,23.0,1.082,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,C46CH71,100,1.0,2026-05-22.30,15.189,227.835,24.4394,19.6,Updated,May 22.39 UT,,8,0.04,23.6,0.396,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,ST26EE4,98,0.98,2026-05-22.30,18.3319,274.9785,17.9336,20.7,Updated,May 22.46 UT,,18,0.13,29.0,0.33,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,ST26EE3,98,0.98,2026-05-22.30,16.4688,247.03200000000004,6.9962,19.6,Updated,May 22.47 UT,,12,0.21,28.4,0.321,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,CENWC52,98,0.98,2026-05-22.30,15.7004,235.506,-2.9381,20.1,Updated,May 22.49 UT,,15,0.18,27.7,0.302,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,CENU0L2,98,0.98,2026-05-22.20,14.0674,211.011,-3.2508,21.8,Updated,May 22.37 UT,,9,0.13,27.4,0.418,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,CENV8M2,98,0.98,2026-05-22.30,16.1326,241.989,10.8462,17.1,Updated,May 22.42 UT,,19,0.12,31.1,0.383,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,NAOCBPP,99,0.99,2026-05-20.70,14.8502,222.753,-18.5992,22.1,Updated,May 22.70 UT,,4,0.13,22.4,1.934,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,8N2S001,100,1.0,2026-05-22.00,17.7531,266.2965,15.0189,19.1,Added,May 22.24 UT,,3,0.01,24.4,0.732,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,Sar2899,98,0.98,2026-05-22.00,15.9949,239.9235,11.5005,20.9,Updated,May 22.45 UT,,24,0.46,29.6,0.338,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,CZYNHKZ,100,1.0,2026-05-14.40,16.3671,245.50650000000002,2.4009,21.4,Updated,May 22.04 UT,,4,0.02,22.8,8.398,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,C46CD31,100,1.0,2026-05-21.40,23.4407,351.6105,-5.2486,22.1,Updated,May 21.45 UT,,5,0.05,28.5,1.342,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,ST26ED8,79,0.79,2026-05-21.30,17.6448,264.672,18.4457,20.3,Updated,May 22.42 UT,,39,1.08,25.8,0.371,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,ST26ED1,98,0.98,2026-05-21.20,1.0502,15.753,-16.8052,24.2,Updated,May 21.71 UT,,20,0.16,30.2,1.4,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260522T184249Z,2026-05-22T18:42:49.104802Z,TF26EE0,100,1.0,2026-05-20.50,16.4013,246.0195,8.7987,23.1,Updated,May 22.38 UT,,4,0.02,28.7,2.301,https://minorplanetcenter.net/iau/NEO/neocp.txt
