snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260516T033458Z,2026-05-16T03:34:58.464454Z,A11Cswo,100,1.0,2026-05-16.00,17.3079,259.6185,-23.8326,18.9,Added,May 16.13 UT,,4,0.02,20.7,0.151,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,ZTF10Du,100,1.0,2026-05-15.30,15.4399,231.5985,-29.2369,17.2,Added,May 15.45 UT,,4,0.03,26.1,0.854,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,ST26E84,100,1.0,2026-05-15.40,14.8889,223.3335,10.7342,20.0,Updated,May 15.45 UT,,4,0.03,24.4,0.708,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,ST26E76,98,0.98,2026-05-15.20,14.423,216.345,7.4328,21.4,Updated,May 15.92 UT,,11,0.67,30.6,0.239,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,ST26E75,100,1.0,2026-05-15.20,14.7838,221.757,-13.1783,18.3,Updated,May 15.38 UT,,4,0.01,25.6,0.917,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,6EE3C21,100,1.0,2026-05-15.20,15.7138,235.70700000000002,-20.9855,19.2,Updated,May 15.97 UT,,14,0.76,25.9,0.196,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,A11Cr0m,100,1.0,2026-05-15.00,16.035,240.525,-51.2869,17.9,Updated,May 15.37 UT,,14,0.31,20.0,0.859,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,P12neKJ,100,1.0,2026-05-14.30,13.0113,195.1695,-23.3929,20.9,Updated,May 15.88 UT,,13,1.51,20.1,0.307,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,P12neKs,57,0.57,2026-05-14.60,18.3284,274.926,57.9287,20.2,Updated,May 16.03 UT,,16,1.43,15.5,0.149,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,P12nc1c,96,0.96,2026-05-14.50,16.7792,251.688,-6.3837,21.7,Updated,May 15.38 UT,,21,0.9,20.1,0.772,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,RFD0300,100,1.0,2026-05-13.00,0.137,2.055,-31.459,25.5,Added,May 14.52 UT,,2,0.0,29.5,3.122,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,CEMAUH2,100,1.0,2026-05-14.40,16.3182,244.77300000000002,-2.3583,21.3,Updated,May 14.46 UT,,6,0.07,24.0,1.71,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,ST26E61,100,1.0,2026-05-14.30,16.5407,248.1105,0.5678,22.3,Updated,May 14.37 UT,,6,0.05,28.7,1.786,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,ST26E57,98,0.98,2026-05-14.30,16.8722,253.083,-13.043,19.6,Updated,May 15.95 UT,,15,1.67,28.0,0.209,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260516T033458Z,2026-05-16T03:34:58.464454Z,MZ26075,100,1.0,2026-05-13.80,17.262,258.93,8.7546,20.2,Updated,May 15.33 UT,,3,0.01,25.5,2.33,https://minorplanetcenter.net/iau/NEO/neocp.txt
