snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260602T043428Z,2026-06-02T04:34:28.970863Z,MZ26136,100,1.0,2026-06-01.80,14.7065,220.5975,70.7288,19.7,Added,June 1.98 UT,,6,0.01,19.7,0.416,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,C1F9WZ5,100,1.0,2026-06-01.30,17.0575,255.8625,27.141,21.3,Updated,June 1.46 UT,,12,0.12,24.9,0.737,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,A11D0Xd,100,1.0,2026-05-30.00,19.1984,287.976,-40.8061,19.0,Updated,June 1.42 UT,,4,0.01,24.0,3.151,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,NAOCYLA,100,1.0,2026-05-27.70,16.25,243.75,-20.6352,20.9,Updated,June 1.43 UT,,4,0.13,21.6,5.324,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,C07PYDZ,100,1.0,2026-05-27.20,14.3153,214.7295,47.7591,21.7,Updated,June 1.43 UT,,4,0.02,19.6,5.99,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,C1F4195,100,1.0,2026-05-26.40,16.1951,242.9265,13.5749,23.7,Updated,June 1.43 UT,,7,0.07,27.6,6.743,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,C1F3245,48,0.48,2026-05-25.40,16.8627,252.94050000000001,9.8583,22.6,Updated,June 1.43 UT,,11,1.0,20.2,6.746,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,C1F2HL5,100,1.0,2026-05-25.40,17.1157,256.7355,-13.0612,22.7,Updated,June 1.43 UT,,8,0.07,26.1,7.768,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,NAOCLYL,85,0.85,2026-05-23.80,15.9312,238.96800000000002,-13.1257,22.1,Updated,June 1.43 UT,,4,0.1,21.6,9.339,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,A11CQzo,100,1.0,2026-05-24.40,22.7182,340.77299999999997,-14.9195,23.8,Updated,June 1.43 UT,,5,0.05,29.9,8.761,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,oKr0080,100,1.0,2026-05-23.90,23.5019,352.5285,18.734,20.2,Updated,June 1.42 UT,,3,0.0,13.5,9.305,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260602T043428Z,2026-06-02T04:34:28.970863Z,P12nfaz,43,0.43,2026-05-20.30,13.1845,197.76749999999998,-26.2348,22.0,Updated,June 1.43 UT,,12,2.87,18.3,10.003,https://minorplanetcenter.net/iau/NEO/neocp.txt
