snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260601T123422Z,2026-06-01T12:34:22.766301Z,C1F9WZ5,100,1.0,2026-06-01.30,17.0669,256.00350000000003,28.7639,21.4,Updated,June 1.46 UT,,12,0.12,24.9,0.07,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,A11D0Xd,100,1.0,2026-05-30.00,19.3589,290.38349999999997,-41.6249,18.9,Updated,June 1.42 UT,,4,0.01,24.0,2.484,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,NAOCYLA,100,1.0,2026-05-27.70,16.2297,243.4455,-20.525,20.9,Updated,June 1.43 UT,,4,0.13,21.6,4.658,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,C07PYDZ,100,1.0,2026-05-27.20,14.314,214.71,47.8464,21.7,Updated,June 1.43 UT,,4,0.02,19.6,5.323,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,C1F4195,100,1.0,2026-05-26.40,16.1898,242.84700000000004,13.2801,23.6,Updated,June 1.43 UT,,7,0.07,27.6,6.076,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,C1F3245,48,0.48,2026-05-25.40,16.878,253.17000000000002,9.9488,22.6,Updated,June 1.43 UT,,11,1.0,20.2,6.08,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,C1F2HL5,100,1.0,2026-05-25.40,17.0535,255.8025,-12.9405,22.7,Updated,June 1.43 UT,,8,0.07,26.1,7.102,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,NAOCLYL,85,0.85,2026-05-23.80,15.9281,238.9215,-13.709,22.1,Updated,June 1.43 UT,,4,0.1,21.6,8.672,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,A11CQzo,100,1.0,2026-05-24.40,22.6873,340.3095,-15.0183,23.6,Updated,June 1.43 UT,,5,0.05,29.9,8.094,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,oKr0080,100,1.0,2026-05-23.90,23.5009,352.5135,18.7182,20.2,Updated,June 1.42 UT,,3,0.0,13.5,8.639,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,6EN3D21,100,1.0,2026-05-24.20,15.2382,228.573,-81.5961,18.9,Updated,June 1.42 UT,,3,0.01,16.5,8.294,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260601T123422Z,2026-06-01T12:34:22.766301Z,P12nfaz,43,0.43,2026-05-20.30,13.1864,197.79600000000002,-26.3557,22.0,Updated,June 1.43 UT,,12,2.87,18.3,9.337,https://minorplanetcenter.net/iau/NEO/neocp.txt
