snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260512T183125Z,2026-05-12T18:31:25.200086Z,ST26E47,100,1.0,2026-05-12.40,15.3016,229.524,-13.43,18.5,Updated,May 12.72 UT,,4,0.01,23.7,0.341,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n55t,78,0.78,2026-05-12.40,15.0449,225.6735,-13.4343,21.2,Updated,May 12.69 UT,,6,0.1,19.9,0.231,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n52K,100,1.0,2026-05-12.40,15.2183,228.2745,-11.412,21.0,Updated,May 12.69 UT,,6,0.1,24.1,0.23,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n4V7,100,1.0,2026-05-12.40,14.4196,216.294,-20.1396,21.6,Updated,May 12.68 UT,,5,0.1,20.2,0.282,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n4V6,100,1.0,2026-05-12.40,14.0234,210.351,-22.8456,21.7,Updated,May 12.68 UT,,6,0.1,21.5,0.283,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n4V9,95,0.95,2026-05-12.40,14.4053,216.0795,-16.404,21.8,Updated,May 12.69 UT,,8,0.1,23.1,0.279,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n4V8,100,1.0,2026-05-12.40,14.3675,215.5125,-16.4512,21.2,Updated,May 12.68 UT,,6,0.09,25.7,0.279,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,CEM28F2,100,1.0,2026-05-12.40,17.5124,262.686,15.8216,21.1,Updated,May 12.47 UT,,9,0.06,25.2,0.313,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n4PE,100,1.0,2026-05-12.30,13.6787,205.1805,-8.3546,20.2,Updated,May 12.68 UT,,6,0.1,25.3,0.335,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n4PD,100,1.0,2026-05-12.40,13.7997,206.9955,-9.1761,20.8,Updated,May 12.68 UT,,5,0.08,27.2,0.334,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260512T183125Z,2026-05-12T18:31:25.200086Z,P22n4PC,69,0.69,2026-05-12.40,13.9725,209.5875,-14.7887,20.6,Updated,May 12.68 UT,,5,0.08,20.2,0.338,https://minorplanetcenter.net/iau/NEO/neocp.txt
