snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260717T070002Z,2026-07-17T07:00:02.142123Z,A11EQsq,100,1.0,2026-07-15.90,16.9667,254.5005,-65.7632,21.1,Added,July 17.27 UT,,4,0.02,28.3,1.4,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,A11EQsr,99,0.99,2026-07-16.40,19.2089,288.1335,-24.5864,19.0,Added,July 17.27 UT,,6,0.05,18.6,0.805,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,A11EQfd,100,1.0,2026-07-16.40,19.8382,297.573,-13.9956,19.2,Added,July 16.79 UT,,4,0.04,26.0,0.805,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,ZTF10Er,100,1.0,2026-07-16.30,1.6923,25.3845,-52.8479,19.1,Added,July 16.64 UT,,4,0.04,26.6,0.913,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,P12ooQQ,96,0.96,2026-07-16.60,20.9658,314.487,2.171,21.3,Added,July 16.64 UT,,3,0.03,19.4,0.712,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,ZTF10Eq,98,0.98,2026-07-16.30,20.3924,305.88599999999997,-11.1632,20.3,Updated,July 17.02 UT,,9,0.69,27.4,0.275,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,P22ooQq,100,1.0,2026-07-16.60,1.9414,29.121,10.3084,21.0,Added,July 16.64 UT,,4,0.02,21.2,0.69,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,P22ooPS,100,1.0,2026-07-16.50,23.3456,350.184,20.0799,20.9,Added,July 16.57 UT,,3,0.02,23.2,0.77,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,P22ooOY,100,1.0,2026-07-16.50,22.9682,344.52299999999997,16.0822,21.2,Updated,July 16.70 UT,,5,0.08,23.8,0.755,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260717T070002Z,2026-07-17T07:00:02.142123Z,P22ooOw,97,0.97,2026-07-16.30,17.711,265.66499999999996,55.3708,22.2,Added,July 16.44 UT,,4,0.04,19.4,0.927,https://minorplanetcenter.net/iau/NEO/neocp.txt
