snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260524T054340Z,2026-05-24T05:43:40.402171Z,ST26EF6,100,1.0,2026-05-24.20,13.7118,205.677,-0.2655,18.9,Updated,May 24.23 UT,,4,0.02,24.4,0.021,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,C1EYRR5,100,1.0,2026-05-23.40,15.8682,238.023,2.4164,22.6,Updated,May 23.48 UT,,10,0.09,25.3,0.777,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,C1EYQL5,100,1.0,2026-05-23.40,15.8708,238.06199999999998,1.3005,22.3,Updated,May 23.48 UT,,7,0.09,24.2,0.774,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,C1EYPU5,97,0.97,2026-05-23.40,15.8256,237.384,3.0004,22.9,Updated,May 23.49 UT,,6,0.07,22.4,0.792,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,C1EYPT5,100,1.0,2026-05-23.40,15.825,237.375,2.0511,21.8,Updated,May 23.79 UT,,14,0.08,24.3,0.781,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,C1EYD55,66,0.66,2026-05-23.30,15.8069,237.1035,-13.0416,22.1,Updated,May 23.41 UT,,10,0.06,19.4,0.852,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,C1EXH55,93,0.93,2026-05-23.30,13.994,209.91,5.4691,22.4,Updated,May 24.21 UT,,20,0.91,23.7,0.051,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,6EM3521,79,0.79,2026-05-23.10,13.17,197.55,-11.9549,20.1,Updated,May 24.19 UT,,25,1.12,22.3,0.07,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,NAOCBPP,99,0.99,2026-05-20.70,14.8708,223.06199999999998,-19.5508,22.1,Updated,May 22.70 UT,,4,0.13,22.4,3.393,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,CZYNHKZ,100,1.0,2026-05-14.40,16.3626,245.43900000000002,2.2618,21.8,Updated,May 23.35 UT,,4,0.02,22.7,9.856,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,C46CD31,100,1.0,2026-05-21.40,1.2125,18.1875,-3.4482,26.1,Updated,May 23.35 UT,,7,0.05,28.6,2.8,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,ST26ED1,98,0.98,2026-05-21.20,1.5797,23.695500000000003,-15.0984,26.7,Updated,May 23.35 UT,,20,0.16,30.2,2.858,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,TF26EE0,100,1.0,2026-05-20.50,16.3734,245.601,8.8162,24.1,Updated,May 22.38 UT,,4,0.02,28.7,3.759,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,ST26EC8,98,0.98,2026-05-20.40,20.9463,314.1945,-30.0692,22.1,Updated,May 23.35 UT,,6,0.14,28.6,3.806,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,ST26EC7,98,0.98,2026-05-20.40,2.4378,36.567,-8.4091,29.5,Updated,May 23.35 UT,,6,0.11,30.3,3.812,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,ST26EC5,100,1.0,2026-05-20.30,15.4305,231.4575,-17.4732,20.2,Updated,May 22.38 UT,,4,0.03,24.9,3.904,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,P12nffX,10,0.1,2026-05-20.50,16.3368,245.052,-21.0291,21.7,Updated,May 22.44 UT,,15,7.94,19.3,1.846,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,P12nfaz,43,0.43,2026-05-20.30,13.2305,198.45749999999998,-27.8995,22.0,Updated,May 23.25 UT,,12,2.87,18.4,1.05,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,NAOCAN7,100,1.0,2026-05-17.70,15.2791,229.1865,-21.8515,20.8,Updated,May 22.38 UT,,4,0.1,19.7,6.39,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,KPMa1Ih,87,0.87,2026-05-18.10,11.1237,166.8555,-27.4053,23.4,Updated,May 22.38 UT,,5,0.01,20.8,6.14,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,CEMVK32,55,0.55,2026-05-17.40,16.5929,248.89350000000002,9.1518,21.6,Updated,May 23.35 UT,,47,9.02,20.1,2.784,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260524T054340Z,2026-05-24T05:43:40.402171Z,P12neKs,35,0.35,2026-05-14.60,18.0734,271.101,57.1682,19.9,Updated,May 23.97 UT,,154,9.38,15.1,0.288,https://minorplanetcenter.net/iau/NEO/neocp.txt
