snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260514T013308Z,2026-05-14T01:33:08.033273Z,A11CmCW,100,1.0,2026-05-13.30,2.9494,44.241,-79.1064,18.4,Added,May 13.75 UT,,4,0.02,24.5,0.693,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,A11CmCS,100,1.0,2026-05-13.30,16.2482,243.723,-40.896,18.8,Added,May 13.75 UT,,4,0.04,25.4,0.752,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,OCA1642,79,0.79,2026-05-13.10,13.7706,206.559,-31.1505,19.4,Added,May 13.56 UT,,3,0.02,13.4,0.94,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,P22nay8,81,0.81,2026-05-13.40,15.7693,236.5395,-1.9076,21.3,Added,May 13.52 UT,,3,0.02,22.9,0.61,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,P22nawA,100,1.0,2026-05-13.40,15.1611,227.41649999999998,-3.1922,21.1,Updated,May 13.90 UT,,7,0.45,24.7,0.181,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,A11Cmv6,100,1.0,2026-05-13.00,8.6347,129.5205,-50.6831,18.7,Updated,May 13.51 UT,,7,0.43,17.7,0.587,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,ST26E47,79,0.79,2026-05-12.40,14.9203,223.8045,-25.3823,19.4,Updated,May 13.91 UT,,22,1.48,24.9,0.164,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,P22n4V7,100,1.0,2026-05-12.40,14.3798,215.697,-19.6832,21.8,Updated,May 13.34 UT,,12,0.95,21.1,0.73,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,P22n4V6,91,0.91,2026-05-12.40,13.9483,209.2245,-22.9504,21.6,Updated,May 13.32 UT,,16,0.93,23.5,0.753,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,CEM28F2,86,0.86,2026-05-12.40,18.0188,270.282,19.0942,20.6,Updated,May 14.05 UT,,25,1.61,24.7,0.056,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,P22n4PC,67,0.67,2026-05-12.40,13.969,209.535,-13.7803,20.6,Updated,May 13.93 UT,,11,1.55,21.0,0.154,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,CEM26R2,30,0.3,2026-05-12.40,16.6043,249.06449999999998,15.4731,20.6,Updated,May 13.26 UT,,16,1.45,17.0,1.073,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260514T013308Z,2026-05-14T01:33:08.033273Z,CEM1XD2,23,0.23,2026-05-12.30,14.5161,217.7415,17.5818,22.2,Updated,May 13.86 UT,,18,6.19,19.2,0.551,https://minorplanetcenter.net/iau/NEO/neocp.txt
