snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260520T144129Z,2026-05-20T14:41:29.315806Z,ST26EC8,100,1.0,2026-05-20.40,15.6413,234.6195,2.9369,19.5,Added,May 20.60 UT,,2,0.0,27.5,0.197,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,ST26EC7,100,1.0,2026-05-20.40,16.311,244.665,8.8138,17.5,Updated,May 20.60 UT,,4,0.01,29.5,0.185,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,ST26EC5,100,1.0,2026-05-20.30,17.461,261.91499999999996,-2.5964,19.0,Updated,May 20.59 UT,,4,0.03,24.6,0.278,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12nfgD,88,0.88,2026-05-20.40,16.0044,240.066,-7.1798,21.7,Added,May 20.55 UT,,4,0.04,20.7,0.137,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12nffX,11,0.11,2026-05-20.50,16.4023,246.0345,-20.6843,21.5,Added,May 20.55 UT,,3,0.01,20.2,0.105,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12nfdO,100,1.0,2026-05-20.50,16.2592,243.888,-22.8146,21.1,Added,May 20.54 UT,,3,0.02,24.2,0.113,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12nffV,71,0.71,2026-05-20.50,16.5095,247.64249999999998,-19.5322,20.5,Added,May 20.54 UT,,4,0.03,19.8,0.104,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12nfdQ,100,1.0,2026-05-20.40,15.6913,235.3695,-16.1642,19.9,Added,May 20.54 UT,,3,0.03,26.4,0.141,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P22nfcp,100,1.0,2026-05-20.40,16.9368,254.05200000000002,3.5206,20.8,Added,May 20.48 UT,,3,0.03,21.4,0.16,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P22nfcS,85,0.85,2026-05-20.40,16.92,253.8,2.2482,20.5,Added,May 20.48 UT,,3,0.03,17.5,0.16,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12nfck,100,1.0,2026-05-20.40,14.1972,212.958,-26.385,19.3,Updated,May 20.50 UT,,4,0.03,26.4,0.208,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12nfaz,92,0.92,2026-05-20.30,13.2613,198.9195,-28.584,21.7,Added,May 20.44 UT,,3,0.03,18.8,0.26,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P22nfat,86,0.86,2026-05-20.40,16.2131,243.19650000000001,21.32,21.6,Added,May 20.44 UT,,3,0.04,19.3,0.22,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P22nfau,68,0.68,2026-05-20.40,16.7758,251.637,17.0262,21.3,Updated,May 20.48 UT,,8,7.83,19.0,0.215,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P22nfad,100,1.0,2026-05-20.40,16.9693,254.5395,20.3802,21.0,Updated,May 20.43 UT,,3,0.03,23.5,0.226,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,CEN5QX2,91,0.91,2026-05-19.40,16.1894,242.84099999999998,-14.9349,20.6,Updated,May 20.52 UT,,21,1.02,25.4,0.199,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,A11CGDH,100,1.0,2026-05-19.20,16.3756,245.634,-71.7876,19.1,Updated,May 20.02 UT,,7,0.76,22.0,0.635,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,A11CGDI,96,0.96,2026-05-19.20,17.22,258.29999999999995,-44.7151,18.8,Updated,May 20.26 UT,,21,0.88,21.5,0.549,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,NAOCAN7,100,1.0,2026-05-17.70,15.2749,229.1235,-21.7549,20.7,Updated,May 20.34 UT,,4,0.1,20.1,2.764,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,KPMa1Ih,87,0.87,2026-05-18.10,11.129,166.935,-25.7492,23.2,Updated,May 20.34 UT,,5,0.01,20.8,2.513,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,A11CDyX,83,0.83,2026-05-18.00,10.9086,163.629,-31.8509,19.6,Updated,May 20.30 UT,,19,1.92,20.6,0.643,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,CEMVK32,35,0.35,2026-05-17.40,16.8738,253.107,10.8972,21.6,Updated,May 20.52 UT,,41,7.48,20.1,0.703,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,A11Cvk7,100,1.0,2026-05-16.90,13.156,197.34,-70.8611,19.8,Updated,May 20.34 UT,,4,0.03,22.4,3.687,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,CEMRK82,84,0.84,2026-05-16.50,21.6318,324.477,-10.5351,21.5,Updated,May 20.34 UT,,3,0.01,17.4,4.151,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,A11Cswo,100,1.0,2026-05-16.00,17.0877,256.31550000000004,-22.9065,18.5,Updated,May 20.34 UT,,4,0.02,21.9,4.614,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,ST26E75,98,0.98,2026-05-15.20,2.5324,37.986,-20.7271,27.8,Updated,May 20.34 UT,,7,0.09,28.6,5.295,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,P12neKs,35,0.35,2026-05-14.60,18.1919,272.87850000000003,57.5751,20.0,Updated,May 20.37 UT,,101,5.47,15.2,0.57,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260520T144129Z,2026-05-20T14:41:29.315806Z,CEMAUH2,100,1.0,2026-05-14.40,15.8024,237.036,-18.4794,21.1,Updated,May 20.34 UT,,6,0.07,23.9,6.172,https://minorplanetcenter.net/iau/NEO/neocp.txt
