snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260521T164209Z,2026-05-21T16:42:09.082791Z,TF26EF3,100,1.0,2026-05-21.50,15.4668,232.00199999999998,13.083,18.0,Added,May 21.59 UT,,2,0.0,19.6,0.224,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,TF26EF2,100,1.0,2026-05-21.50,15.4654,231.98100000000002,13.0717,18.2,Updated,May 21.59 UT,,2,0.0,22.4,0.228,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,P22nfmx,100,1.0,2026-05-21.30,14.3203,214.8045,1.4378,20.9,Updated,May 21.65 UT,,6,0.16,24.5,0.344,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,C46CD31,100,1.0,2026-05-21.40,17.2891,259.3365,-2.4971,18.5,Updated,May 21.45 UT,,5,0.05,28.5,0.257,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,ST26ED8,100,1.0,2026-05-21.30,17.9697,269.5455,9.2417,20.0,Updated,May 21.66 UT,,15,0.14,25.8,0.229,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,ST26ED4,98,0.98,2026-05-21.30,15.6341,234.5115,14.9052,19.4,Updated,May 21.58 UT,,10,0.16,27.5,0.257,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,ST26ED1,98,0.98,2026-05-21.20,16.5267,247.90050000000002,1.0739,17.5,Updated,May 21.40 UT,,17,0.14,29.9,0.33,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,TF26EE0,100,1.0,2026-05-20.50,16.4509,246.76350000000002,8.7167,22.0,Updated,May 20.74 UT,,4,0.02,28.7,1.216,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,TF26ED8,100,1.0,2026-05-20.50,16.8797,253.19549999999998,-1.0967,18.3,Added,May 20.66 UT,,2,0.0,24.3,1.236,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,ST26EC8,100,1.0,2026-05-20.40,17.8201,267.3015,-15.8533,18.7,Updated,May 20.66 UT,,4,0.02,27.1,1.263,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,ST26EC7,100,1.0,2026-05-20.40,2.2538,33.807,-8.3217,26.6,Updated,May 20.60 UT,,4,0.01,29.5,1.269,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,ST26EC5,100,1.0,2026-05-20.30,16.4402,246.603,-10.584,19.0,Updated,May 20.59 UT,,4,0.03,24.6,1.361,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260521T164209Z,2026-05-21T16:42:09.082791Z,P12nfgD,46,0.46,2026-05-20.40,15.9752,239.628,-7.3865,22.0,Updated,May 21.44 UT,,12,0.98,20.3,0.286,https://minorplanetcenter.net/iau/NEO/neocp.txt
