snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELUGR2,100,1.0,2026-05-10.30,15.0701,226.0515,30.6405,20.7,Updated,May 10.37 UT,,6,0.04,26.4,0.026,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELUGK2,100,1.0,2026-05-10.30,14.7979,221.9685,30.1472,21.6,Added,May 10.36 UT,,4,0.02,23.2,0.046,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ZTF10Do,100,1.0,2026-05-10.20,12.6803,190.20450000000002,-16.3676,18.4,Added,May 10.33 UT,,6,0.02,27.4,0.142,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ST26E26,98,0.98,2026-05-10.20,15.0571,225.8565,-4.9178,19.2,Updated,May 10.38 UT,,8,0.13,29.1,0.019,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ST26E25,98,0.98,2026-05-10.20,14.8012,222.018,-1.4108,19.9,Updated,May 10.39 UT,,10,0.15,28.6,0.012,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELU1Q2,100,1.0,2026-05-10.20,11.5831,173.7465,31.3975,21.9,Updated,May 10.32 UT,,7,0.11,25.8,0.086,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ST26E24,98,0.98,2026-05-10.20,12.6914,190.371,-2.9662,19.1,Updated,May 10.35 UT,,10,0.17,28.9,0.049,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,P22n4ou,89,0.89,2026-05-09.40,14.7342,221.013,7.5237,21.6,Updated,May 10.23 UT,,11,0.86,21.5,0.175,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ZTF10Dn,100,1.0,2026-05-09.30,16.3594,245.39100000000002,-12.0424,18.6,Added,May 9.51 UT,,4,0.04,26.9,1.062,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,XA9ttXA,89,0.89,2026-05-08.80,15.1481,227.2215,1.7728,22.0,Updated,May 10.38 UT,,6,1.61,19.1,0.025,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ST26E18,100,1.0,2026-05-09.40,15.5681,233.5215,-15.4415,20.4,Added,May 9.37 UT,,4,0.0,28.7,1.032,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELT2A2,94,0.94,2026-05-09.30,13.695,205.425,35.6833,20.4,Updated,May 10.36 UT,,24,0.91,21.5,0.216,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELT0C2,93,0.93,2026-05-09.20,12.9292,193.938,40.0419,20.9,Updated,May 10.15 UT,,16,0.89,22.9,0.256,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELRZD2,100,1.0,2026-05-09.20,12.6081,189.1215,34.9256,21.7,Updated,May 9.36 UT,,8,0.1,22.8,1.05,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,TF26E23,100,1.0,2026-05-09.20,13.1199,196.7985,-4.8665,17.0,Updated,May 10.39 UT,,2,0.0,19.6,1.181,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,gb00845,72,0.72,2026-05-08.80,13.0407,195.6105,-9.1959,20.1,Updated,May 10.34 UT,,48,1.53,23.9,0.062,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,P22n0x5,72,0.72,2026-05-08.50,15.3001,229.50150000000002,-15.4047,20.3,Updated,May 10.09 UT,,30,1.7,30.0,0.321,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ZTF10Dl,100,1.0,2026-05-08.30,18.3493,275.2395,-15.4459,19.9,Updated,May 10.31 UT,,4,0.03,27.0,2.029,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ST26E14,100,1.0,2026-05-08.40,13.3956,200.934,-3.69,17.9,Updated,May 10.31 UT,,2,0.0,21.3,1.973,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,P22n0vC,26,0.26,2026-05-08.30,14.8374,222.561,9.9777,22.3,Updated,May 10.26 UT,,22,1.91,19.8,0.15,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELLEH2,86,0.86,2026-05-08.30,15.8172,237.25799999999998,-15.7548,22.5,Updated,May 10.22 UT,,12,1.86,32.6,0.241,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,CELHF72,75,0.75,2026-05-08.30,14.9725,224.5875,-10.0493,21.3,Updated,May 10.28 UT,,30,1.97,24.6,0.126,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,P22n0gv,96,0.96,2026-05-07.60,17.2066,258.09900000000005,48.142,21.1,Updated,May 9.45 UT,,22,1.84,21.3,0.959,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,P22n0fQ,97,0.97,2026-05-07.40,15.0908,226.362,9.8728,22.1,Updated,May 9.34 UT,,3,0.04,24.3,2.99,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ZTF10Di,100,1.0,2026-05-07.40,21.8988,328.482,-11.5677,21.9,Updated,May 9.34 UT,,4,0.02,27.4,3.005,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,S001563,73,0.73,2026-05-07.00,13.0028,195.042,-26.8724,21.4,Updated,May 9.33 UT,,3,0.03,17.7,3.321,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,P22mZLU,93,0.93,2026-05-06.30,11.748,176.22,-17.4594,20.9,Updated,May 10.39 UT,,10,1.71,20.6,2.417,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,A11BX2S,100,1.0,2026-05-05.20,19.194,287.90999999999997,1.5612,20.1,Updated,May 9.33 UT,,2,0.01,24.8,5.167,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,A11BRI6,53,0.53,2026-05-03.00,10.6064,159.096,-40.2626,18.8,Updated,May 10.31 UT,,50,5.0,19.9,2.381,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,ZTF10Df,98,0.98,2026-05-02.20,10.4174,156.26100000000002,1.4472,23.4,Updated,May 9.33 UT,,9,0.68,26.6,7.554,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T092955Z,2026-05-10T09:29:55.352056Z,C1EUYV5,91,0.91,2026-04-27.50,17.3313,259.9695,18.5238,21.8,Updated,May 10.33 UT,,24,12.79,12.7,0.14,https://minorplanetcenter.net/iau/NEO/neocp.txt
