snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260528T214840Z,2026-05-28T21:48:40.181776Z,CEP5YT2,100,1.0,2026-05-27.20,14.3412,215.118,38.0731,21.2,Updated,May 28.19 UT,,11,0.93,25.0,0.734,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,A11CWPw,100,1.0,2026-05-26.60,1.9089,28.6335,13.5248,21.6,Updated,May 28.36 UT,,4,0.02,28.8,2.334,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C1F4195,100,1.0,2026-05-26.40,16.1523,242.2845,10.8353,22.8,Updated,May 28.36 UT,,7,0.07,27.7,2.461,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,P12nfxd,100,1.0,2026-05-25.60,17.7897,266.8455,17.4005,21.9,Updated,May 28.36 UT,,14,2.0,22.6,2.475,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C1F32J5,100,1.0,2026-05-25.40,17.1738,257.60699999999997,18.3676,22.1,Updated,May 27.70 UT,,11,1.88,23.6,1.576,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C1F3245,48,0.48,2026-05-25.40,16.9597,254.39550000000003,10.3762,22.6,Updated,May 28.36 UT,,11,1.0,20.3,2.464,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,SJA1250,100,1.0,2026-05-24.90,16.7163,250.74450000000002,60.3789,20.2,Updated,May 27.36 UT,,3,0.03,17.1,3.943,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C1F2HL5,100,1.0,2026-05-25.40,16.7067,250.6005,-12.2535,22.4,Updated,May 28.36 UT,,8,0.07,25.5,3.486,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C1F1TD5,100,1.0,2026-05-25.30,15.8335,237.5025,4.5198,25.7,Updated,May 28.36 UT,,4,0.02,33.9,3.585,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C03UYWZ,98,0.98,2026-05-23.40,16.7137,250.7055,16.6472,22.3,Updated,May 27.70 UT,,13,5.98,23.1,2.487,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,P12nfw2,100,1.0,2026-05-24.60,21.2023,318.03450000000004,-2.6901,21.6,Updated,May 27.69 UT,,14,3.01,20.3,1.308,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,NAOCLYL,85,0.85,2026-05-23.80,15.9116,238.674,-17.1019,21.9,Updated,May 28.36 UT,,4,0.1,21.5,5.057,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,A11CQzo,100,1.0,2026-05-24.40,22.3578,335.367,-16.0282,22.2,Updated,May 28.36 UT,,5,0.05,29.8,4.479,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,oKr0080,100,1.0,2026-05-23.90,23.4967,352.45050000000003,18.6212,20.4,Updated,May 28.36 UT,,3,0.0,17.8,5.024,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C1F1535,97,0.97,2026-05-24.40,16.7579,251.36849999999998,7.2256,22.3,Updated,May 28.36 UT,,11,0.87,23.3,3.628,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,6EN3D21,100,1.0,2026-05-24.20,16.0498,240.747,-80.6364,18.9,Updated,May 28.36 UT,,3,0.01,18.8,4.678,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,C1EYPU5,100,1.0,2026-05-23.40,15.9071,238.60649999999998,3.6692,22.9,Updated,May 28.37 UT,,11,1.87,24.1,3.665,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,NAOCBPP,99,0.99,2026-05-20.70,14.9411,224.1165,-22.4174,22.4,Updated,May 28.36 UT,,4,0.13,22.4,8.063,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,ST26EC8,98,0.98,2026-05-20.40,22.3183,334.7745,-30.9188,24.2,Updated,May 28.36 UT,,6,0.14,28.6,8.477,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,P12nfaz,43,0.43,2026-05-20.30,13.2011,198.0165,-27.0219,22.1,Updated,May 28.36 UT,,12,2.87,18.4,5.721,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,NAOCAN7,100,1.0,2026-05-17.70,15.2917,229.37550000000002,-21.9756,21.3,Updated,May 28.37 UT,,4,0.1,20.1,11.061,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,KPMa1Ih,87,0.87,2026-05-18.10,11.1334,167.001,-29.343,23.6,Updated,May 28.36 UT,,5,0.01,20.8,10.811,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260528T214840Z,2026-05-28T21:48:40.181776Z,CEMVK32,51,0.51,2026-05-17.40,16.273,244.095,6.9465,21.8,Updated,May 27.66 UT,,59,13.11,20.1,3.372,https://minorplanetcenter.net/iau/NEO/neocp.txt
