snapshot_id,fetched_at_utc,designation,score,score_0_1,discovery_date_mpc,ra_hours,ra_deg,dec_deg,v_mag,status,updated_mpc,note,nobs,arc_days,h_mag,not_seen_days,source_url
20260510T042946Z,2026-05-10T04:29:46.009745Z,P22n4ou,89,0.89,2026-05-09.40,14.7354,221.031,7.5498,21.2,Updated,May 10.10 UT,,7,0.73,20.9,0.096,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,ZTF10Dn,100,1.0,2026-05-09.30,16.1908,242.862,-11.7053,18.1,Added,May 9.51 UT,,4,0.04,26.9,0.853,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,XA9ttXA,96,0.96,2026-05-08.80,15.1523,227.2845,1.7697,21.4,Added,May 9.48 UT,,3,0.03,19.7,1.398,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,ST26E18,100,1.0,2026-05-09.40,15.4922,232.383,-14.6772,20.1,Added,May 9.37 UT,,4,0.0,28.7,0.823,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,CELT2A2,86,0.86,2026-05-09.30,13.7166,205.749,35.8555,20.6,Updated,May 10.18 UT,,17,0.91,21.7,0.008,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,CELT0C2,93,0.93,2026-05-09.20,12.9636,194.454,39.3847,20.9,Updated,May 10.15 UT,,16,0.89,22.9,0.048,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,CELRZD2,100,1.0,2026-05-09.20,12.6244,189.36599999999999,34.7563,21.6,Updated,May 9.36 UT,,8,0.1,22.8,0.841,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,TF26E23,100,1.0,2026-05-09.20,13.1107,196.66049999999998,-4.867,16.7,Added,May 9.23 UT,,2,0.0,17.7,0.973,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,gb00845,77,0.77,2026-05-08.80,13.0509,195.7635,-7.8171,20.1,Updated,May 10.09 UT,,44,1.29,23.9,0.102,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,P22n0x5,72,0.72,2026-05-08.50,15.2685,229.0275,-15.8461,20.2,Updated,May 10.09 UT,,30,1.7,30.0,0.112,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,P22n0w4,77,0.77,2026-05-08.40,15.3484,230.226,3.0156,20.0,Updated,May 10.11 UT,,33,1.72,23.8,0.093,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,ZTF10Dl,100,1.0,2026-05-08.30,18.2145,273.21750000000003,-15.3756,19.7,Added,May 8.49 UT,,4,0.03,27.0,1.821,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,CELR3G2,98,0.98,2026-05-08.50,17.023,255.345,-5.3381,22.0,Updated,May 9.45 UT,,15,0.97,29.0,0.758,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,ST26E14,100,1.0,2026-05-08.40,13.4008,201.012,-3.7499,18.0,Added,May 8.45 UT,,2,0.0,16.2,1.765,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,P22n0vC,36,0.36,2026-05-08.30,14.8425,222.6375,10.0064,22.2,Updated,May 9.29 UT,,19,0.95,19.7,0.904,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,CELLEH2,96,0.96,2026-05-08.30,15.8051,237.07649999999998,-15.5741,22.4,Updated,May 9.38 UT,,12,1.03,32.6,0.865,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,CELHF72,77,0.77,2026-05-08.30,14.9666,224.499,-10.2859,21.2,Updated,May 10.14 UT,,27,1.84,24.6,0.054,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,P22n0gv,96,0.96,2026-05-07.60,17.2277,258.41549999999995,48.2463,21.1,Updated,May 9.45 UT,,22,1.84,21.3,0.75,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,P22n0fQ,97,0.97,2026-05-07.40,15.0925,226.3875,9.8439,22.1,Updated,May 9.34 UT,,3,0.04,24.3,2.782,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,ZTF10Di,100,1.0,2026-05-07.40,21.8207,327.3105,-11.7944,21.7,Updated,May 9.34 UT,,4,0.02,27.4,2.797,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,S001563,73,0.73,2026-05-07.00,13.0038,195.057,-26.8615,21.4,Updated,May 9.33 UT,,3,0.03,17.7,3.113,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,P22mZLU,93,0.93,2026-05-06.30,11.7401,176.1015,-17.6281,20.9,Updated,May 10.18 UT,,10,1.71,20.6,2.208,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,A11BX2S,100,1.0,2026-05-05.20,19.1574,287.361,1.6424,20.1,Updated,May 9.33 UT,,2,0.01,24.8,4.959,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,A11BRI6,53,0.53,2026-05-03.00,10.5543,158.31449999999998,-40.3599,18.7,Updated,May 8.52 UT,,50,5.0,19.9,2.172,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,ZTF10Df,98,0.98,2026-05-02.20,10.4159,156.23850000000002,1.4502,23.4,Updated,May 9.33 UT,,9,0.68,26.6,7.346,https://minorplanetcenter.net/iau/NEO/neocp.txt
20260510T042946Z,2026-05-10T04:29:46.009745Z,C1EUYV5,93,0.93,2026-04-27.50,17.334,260.01,18.5115,21.7,Updated,May 9.32 UT,,18,11.83,12.6,0.889,https://minorplanetcenter.net/iau/NEO/neocp.txt
